games,goals,assists,pens_att,pens_made,cards_yellow,cards_red,goals_pens,goals_assists_pens,xg,npxg,xa,xg_xa,npxg_xa
360.0,1.5,1.09,0.21,0.17,1.9,0.05,1.34,2.43,1.43,1.27,0.98,2.41,2.25
434.0,1.22,0.83,0.21,0.14,2.28,0.11,1.08,1.91,1.21,1.07,0.81,2.02,1.88
474.0,1.33,0.88,0.19,0.17,2.02,0.13,1.16,2.04,1.35,1.19,0.88,2.23,2.08
450.0,1.31,0.92,0.19,0.15,1.54,0.07,1.16,2.08,1.29,1.15,0.86,2.15,2.01
420.0,1.48,1.04,0.21,0.15,2.33,0.1,1.33,2.37,1.43,1.29,0.97,2.4,2.26
,,,0.21,,,,,,,,,,
,,,0.18,,,,,,,,,,
,,,0.18,,,,,,,,,,
,,,0.18,,,,,,,,,,
,,,0.18,,,,,,,,,,
