player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,0.2,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,13.6,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,34,0,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,0.7,2,1,1,0,1,1,1,100.0,0,13,1,7.7,6,6,1,3,1,0,2,2,4,0,0,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,0.4,0,0,0,0,0,0,2,0.0,2,14,2,14.3,0,9,5,2,0,0,2,0,0,1,0,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,12.7,28,17,6,19,3,5,17,29.4,12,220,70,31.8,57,129,34,21,4,0,17,19,47,27,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,1.7,1,1,0,1,0,0,3,0.0,3,23,5,21.7,4,9,10,3,0,0,3,3,4,0,0,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,4.1,15,8,6,8,1,8,15,53.3,7,84,22,26.2,38,31,15,5,1,0,4,10,25,9,0,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,0.5,0,0,0,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,1,1,1,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,17.4,29,20,16,9,4,8,17,47.1,9,168,68,40.5,77,75,16,23,6,0,17,25,54,59,1,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,10.5,20,9,12,7,1,8,10,80.0,2,147,50,34.0,67,70,10,30,13,2,17,8,28,34,0,Matches
David Alaba,at AUT,DF,Bayern Munich,28-234,1992,18.1,16,12,8,8,0,2,18,11.1,16,172,68,39.5,74,80,18,27,11,0,16,20,36,60,1,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28-128,1992,9.2,6,4,3,1,2,1,3,33.3,2,88,29,33.0,3,29,56,4,1,0,3,3,9,7,0,Matches
Omar Alderete,py PAR,DF,Hertha BSC,24-049,1996,10.3,15,9,11,4,0,2,11,18.2,9,99,36,36.4,63,35,1,14,7,0,7,11,26,70,2,Matches
