player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,12.7,14,1.10,12,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,1.7,7,4.09,5,0,0,1,1,0,2,1.17,1,0,0,1,0,0,0,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,4.1,3,0.74,2,0,0,0,1,0,1,0.25,1,0,0,0,0,0,0,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,17.4,12,0.69,8,1,0,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,10.5,5,0.48,4,1,0,0,0,0,1,0.10,1,0,0,0,0,0,0,Matches
David Alaba,at AUT,DF,Bayern Munich,28-234,1992,18.1,22,1.21,19,1,0,2,0,0,2,0.11,1,1,0,0,0,0,0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28-128,1992,9.2,15,1.63,11,0,1,1,2,0,1,0.11,0,0,0,1,0,0,0,Matches
Omar Alderete,py PAR,DF,Hertha BSC,24-049,1996,10.3,5,0.48,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,MF,Leverkusen,24-109,1996,14.1,51,3.61,33,10,4,4,0,0,11,0.78,7,1,2,1,0,0,0,Matches
Sebastian Andersson,se SWE,FW,Köln,29-213,1991,8.2,9,1.10,5,0,0,3,1,0,2,0.24,0,0,0,1,1,0,0,Matches
Robert Andrich,de GER,MF,Union Berlin,26-144,1994,16.1,37,2.30,26,3,4,1,2,1,6,0.37,5,0,0,0,1,0,0,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,24-040,1997,19.9,76,3.83,52,13,6,3,2,0,6,0.30,4,1,1,0,0,0,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,24-208,1996,16.1,19,1.18,16,1,0,1,0,1,2,0.12,2,0,0,0,0,0,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,31-302,1989,7.3,12,1.65,11,0,0,0,0,1,1,0.14,1,0,0,0,0,0,0,Matches
Santiago Arias,co COL,DF,Leverkusen,29-031,1992,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,26-262,1994,16.1,43,2.67,19,15,1,2,6,0,7,0.43,1,3,1,0,2,0,0,Matches
Toluwalas Arokodare,ng NGA,FW,Köln,20-082,2000,0.9,1,1.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23-354,1997,1.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,26-298,1994,12.3,37,3.00,17,17,0,2,1,0,5,0.41,1,4,0,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,Union Berlin,23-185,1997,13.4,24,1.79,16,0,3,1,3,1,6,0.45,3,0,1,0,2,0,0,Matches
Leon Bailey,jm JAM,FW,Leverkusen,23-188,1997,16.2,68,4.20,41,8,8,4,6,1,11,0.68,5,4,0,1,0,1,0,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,22-311,1998,16.4,40,2.44,35,0,2,2,1,0,8,0.49,7,0,1,0,0,0,0,Matches
Ridle Baku,de GER,DF,Mainz 05,22-311,1998,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,22-268,1998,7.8,34,4.38,23,7,2,0,1,1,5,0.64,3,1,1,0,0,0,0,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21-041,2000,12.7,17,1.34,14,0,1,0,2,0,1,0.08,1,0,0,0,0,0,0,Matches
Jacob Barrett Laursen,dk DEN,DF,Arminia,26-088,1994,7.3,6,0.83,6,0,0,0,0,0,1,0.14,1,0,0,0,0,0,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19.0,2,0.11,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,33-042,1988,11.9,23,1.93,18,0,0,1,4,0,2,0.17,1,0,0,1,0,0,0,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21-196,1999,15.9,47,2.96,29,1,2,3,9,3,10,0.63,6,0,1,0,3,0,0,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,24-176,1996,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,0,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,26-296,1994,11.3,37,3.26,28,0,5,2,2,0,9,0.79,4,0,2,2,1,0,0,Matches
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,26-004,1995,11.9,33,2.77,25,0,2,3,3,0,7,0.59,6,0,0,0,1,0,0,Matches
Timo Becker,de GER,DF,Schalke 04,23-325,1997,5.5,7,1.27,4,1,0,0,2,0,3,0.55,2,1,0,0,0,0,0,Matches
Brian Behrendt,de GER,DF,Arminia,29-112,1991,0.9,2,2.28,0,1,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,18-119,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ishak Belfodil,dz ALG,FW,Hoffenheim,29-032,1992,6.4,17,2.64,12,0,0,2,3,0,1,0.16,1,0,0,0,0,0,0,Matches
Stefan Bell,de GER,DF,Mainz 05,29-173,1991,4.6,1,0.22,1,0,0,0,0,0,1,0.22,1,0,0,0,0,0,0,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,30-311,1990,4.8,10,2.09,6,0,2,2,0,0,1,0.21,0,0,0,1,0,0,0,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17-229,2003,8.9,25,2.80,21,0,0,0,3,1,6,0.67,6,0,0,0,0,0,0,Matches
Lars Bender,de GER,DF,Leverkusen,31-292,1989,10.4,17,1.64,16,0,1,0,0,0,3,0.29,3,0,0,0,0,0,0,Matches
Sven Bender,de GER,DF,Leverkusen,31-292,1989,6.9,9,1.30,8,0,0,1,0,0,2,0.29,2,0,0,0,0,0,0,Matches
László Bénes,sk SVK,MF,M'Gladbach,23-157,1997,1.7,6,3.60,1,4,0,0,1,0,2,1.20,0,1,0,0,1,0,0,Matches
László Bénes,sk SVK,"MF,FW",Augsburg,23-157,1997,1.4,3,2.13,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25-303,1995,9.6,7,0.73,6,0,0,1,0,0,1,0.10,0,0,0,1,0,0,0,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,26-081,1994,5.0,3,0.60,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-094,2001,2.0,8,4.09,8,0,0,0,0,0,2,1.02,2,0,0,0,0,0,0,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31-020,1990,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,27-056,1993,11.5,30,2.60,16,6,3,1,2,2,4,0.35,1,1,0,0,1,1,0,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,32-163,1988,15.7,8,0.51,8,0,0,0,0,0,2,0.13,2,0,0,0,0,0,0,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26-328,1994,14.1,40,2.83,30,0,3,2,4,1,5,0.35,4,0,0,1,0,0,0,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-261,2002,3.0,7,2.37,5,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
Dennis Borkowski,de GER,MF,RB Leipzig,19-018,2002,0.1,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21-328,1999,17.0,2,0.12,2,0,0,0,0,0,1,0.06,1,0,0,0,0,0,0,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-238,1999,5.9,12,2.03,7,0,0,2,3,0,0,0.00,0,0,0,0,0,0,0,Matches
