player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19,19,"1,710",19.0,36,1.89,87,54,63.2,6,3,10,3,15.8,7,4,2,1,33.3,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16,16,"1,440",16.0,26,1.62,72,48,66.7,7,2,7,4,25.0,2,2,0,0,0.0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19,19,"1,710",19.0,18,0.95,62,47,74.2,10,7,2,8,42.1,3,2,1,0,33.3,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1,1,90,1.0,5,5.00,11,7,63.6,0,0,1,0,0.0,1,1,0,0,0.0,Matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,13,13,"1,125",12.5,35,2.80,83,52,60.2,1,2,10,1,7.7,2,2,0,0,0.0,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,33-110,1987,21,21,"1,890",21.0,35,1.67,104,75,71.2,6,4,11,4,19.0,8,5,2,1,28.6,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,30-283,1990,21,21,"1,890",21.0,18,0.86,52,33,67.3,13,5,3,10,47.6,1,1,0,0,0.0,Matches
Marwin Hitz,ch SUI,GK,Dortmund,33-148,1987,4,4,360,4.0,3,0.75,9,6,66.7,3,0,1,2,50.0,0,0,0,0,,Matches
Timo Horn,de GER,GK,Köln,27-277,1993,20,20,"1,749",19.4,32,1.65,85,59,69.4,5,6,9,3,15.0,7,6,1,0,14.3,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,31-081,1989,20,20,"1,800",20.0,21,1.05,55,37,63.6,10,5,5,5,25.0,2,1,1,0,50.0,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,36-137,1984,2,2,180,2.0,4,2.00,11,8,72.7,0,0,2,0,0.0,2,1,1,0,50.0,Matches
Loris Karius,de GER,GK,Union Berlin,27-236,1993,1,0,22,0.2,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches
Gregor Kobel,ch SUI,GK,Stuttgart,23-069,1997,20,20,"1,800",20.0,34,1.70,98,66,68.4,6,7,7,2,10.0,4,3,1,0,25.0,Matches
Michael Langer,at AUT,GK,Schalke 04,36-038,1985,1,1,90,1.0,3,3.00,9,7,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
Andreas Luthe,de GER,GK,Union Berlin,33-340,1987,20,20,"1,778",19.8,25,1.27,74,50,68.9,7,8,5,4,20.0,2,2,0,0,0.0,Matches
Florian Müller,de GER,GK,Freiburg,23-092,1997,20,20,"1,800",20.0,33,1.65,97,67,68.0,8,6,6,3,15.0,3,2,1,0,33.3,Matches
Manuel Neuer,de GER,GK,Bayern Munich,34-323,1986,20,20,"1,800",20.0,26,1.30,83,57,69.9,15,3,2,5,25.0,2,1,0,1,0.0,Matches
Stefan Ortega,de GER,GK,Arminia,28-099,1992,19,19,"1,710",19.0,32,1.68,99,70,69.7,5,2,12,5,26.3,3,2,1,0,33.3,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,28-305,1992,19,19,"1,710",19.0,27,1.42,78,54,67.9,5,7,7,3,15.8,4,2,2,0,50.0,Matches
Philipp Pentke,de GER,GK,Hoffenheim,35-288,1985,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,33-092,1987,1,1,90,1.0,1,1.00,7,5,85.7,0,1,0,0,0.0,0,0,0,0,,Matches
Frederik Rønnow,dk DEN,GK,Schalke 04,28-193,1992,7,6,585,6.5,14,2.15,45,35,77.8,0,3,3,0,0.0,4,4,0,0,0.0,Matches
Alexander Schwolow,de GER,GK,Hertha BSC,28-256,1992,18,18,"1,620",18.0,32,1.78,69,42,60.9,4,5,9,5,27.8,5,5,0,0,0.0,Matches
Tobias Sippel,de GER,GK,M'Gladbach,32-328,1988,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,32-058,1988,19,19,"1,710",19.0,30,1.58,65,40,61.5,8,7,4,3,15.8,5,5,0,0,0.0,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,30-220,1990,20,20,"1,800",20.0,29,1.45,79,55,68.4,9,9,2,2,10.0,4,4,0,0,0.0,Matches
Robin Zentner,de GER,GK,Mainz 05,26-108,1994,19,19,"1,710",19.0,35,1.84,99,68,68.7,3,4,12,2,10.5,5,4,0,1,0.0,Matches
Ron-Robert Zieler,de GER,GK,Köln,32-001,1989,1,0,51,0.6,1,1.76,2,2,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
