player,nationality,position,squad,age,birth_year,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,matches
Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19.0,36,4,0,2,1,33.9,0.33,-1.1,-0.06,112,275,40.7,633,104,34.9,33.5,141,38.3,35.2,172,5,2.9,23,1.21,16.0,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16.0,26,2,0,5,0,20.7,0.28,-5.3,-0.33,72,162,44.4,442,86,29.4,31.7,87,36.8,35.7,94,7,7.4,5,0.31,13.8,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19.0,18,2,1,3,1,19.8,0.30,+2.8,+0.15,156,332,47.0,608,102,40.8,37.0,120,70.0,52.7,163,17,10.4,18,0.95,15.3,Matches
Finn Dahmen,de GER,GK,Mainz 05,22-323,1998,1.0,5,1,0,1,0,5.5,0.43,+0.5,+0.50,0,5,0.0,18,8,27.8,32.3,5,0.0,16.0,17,1,5.9,0,0.00,8.4,Matches
Ralf Fährmann,de GER,GK,Schalke 04,32-139,1988,12.5,35,2,0,5,2,25.9,0.30,-7.1,-0.57,73,226,32.3,377,60,40.8,36.7,116,62.1,47.0,123,8,6.5,12,0.96,15.6,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,33-110,1987,21.0,35,5,0,3,2,32.4,0.26,+0.4,+0.02,144,361,39.9,717,136,38.6,35.0,172,48.8,42.3,230,14,6.1,12,0.57,14.0,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,30-283,1990,21.0,18,1,0,2,0,15.6,0.28,-2.4,-0.12,97,201,48.3,661,118,26.5,31.2,104,25.0,30.7,130,8,6.2,28,1.33,17.3,Matches
Marwin Hitz,ch SUI,GK,Dortmund,33-148,1987,4.0,3,0,0,0,0,1.7,0.19,-1.3,-0.32,23,38,60.5,129,18,22.5,27.9,23,39.1,39.2,17,4,23.5,2,0.50,15.5,Matches
Timo Horn,de GER,GK,Köln,27-277,1993,19.4,32,6,1,4,0,29.5,0.27,-2.5,-0.13,188,410,45.9,654,69,51.7,41.3,129,55.8,45.5,163,8,4.9,13,0.67,13.7,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,31-081,1989,20.0,21,1,0,0,2,18.8,0.31,-0.2,-0.01,145,364,39.8,899,111,35.8,34.5,112,37.5,34.8,122,9,7.4,24,1.20,17.8,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,36-137,1984,2.0,4,1,0,0,0,3.8,0.22,-0.2,-0.08,13,42,31.0,53,6,56.6,43.6,16,75.0,49.4,22,1,4.5,2,1.00,12.9,Matches
Loris Karius,de GER,GK,Union Berlin,27-236,1993,0.2,0,0,0,0,0,0.8,0.83,+0.8,+3.39,2,6,33.3,4,0,75.0,50.0,3,100.0,65.0,1,0,0.0,0,0.00,,Matches
Gregor Kobel,ch SUI,GK,Stuttgart,23-069,1997,20.0,34,3,1,2,1,29.9,0.27,-3.1,-0.15,87,202,43.1,579,121,29.4,30.3,166,19.3,23.4,175,9,5.1,12,0.60,13.8,Matches
Michael Langer,at AUT,GK,Schalke 04,36-038,1985,1.0,3,0,0,1,1,3.1,0.35,+1.1,+1.13,8,14,57.1,13,1,53.8,40.8,15,46.7,36.6,9,0,0.0,0,0.00,6.0,Matches
Andreas Luthe,de GER,GK,Union Berlin,33-340,1987,19.8,25,2,0,7,0,24.5,0.31,-0.5,-0.03,128,342,37.4,577,70,42.8,37.9,145,65.5,46.3,157,10,6.4,4,0.20,12.6,Matches
Florian Müller,de GER,GK,Freiburg,23-092,1997,20.0,33,2,2,3,1,33.1,0.32,+1.1,+0.05,127,411,30.9,621,79,44.8,41.0,172,77.3,59.0,168,10,6.0,11,0.55,13.8,Matches
Manuel Neuer,de GER,GK,Bayern Munich,34-323,1986,20.0,26,1,0,4,0,30.1,0.36,+4.1,+0.21,159,245,64.9,699,116,30.8,31.8,117,25.6,30.4,136,3,2.2,27,1.35,16.6,Matches
Stefan Ortega,de GER,GK,Arminia,28-099,1992,19.0,32,2,0,6,1,31.8,0.30,+0.8,+0.04,282,582,48.5,966,66,52.2,43.2,134,58.2,47.3,194,9,4.6,15,0.79,14.5,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,28-305,1992,19.0,27,2,0,1,1,23.0,0.25,-3.0,-0.16,137,297,46.1,485,94,42.9,37.8,151,58.9,45.4,200,12,6.0,11,0.58,13.6,Matches
Philipp Pentke,de GER,GK,Hoffenheim,35-288,1985,1.0,1,0,0,0,0,0.4,0.21,-0.6,-0.57,2,6,33.3,25,5,20.0,29.8,4,25.0,31.5,2,0,0.0,1,1.00,20.3,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,33-092,1987,1.0,1,0,0,1,0,2.7,0.39,+1.7,+1.72,8,19,42.1,23,1,56.5,43.2,9,66.7,53.4,13,1,7.7,0,0.00,11.3,Matches
Frederik Rønnow,dk DEN,GK,Schalke 04,28-193,1992,6.5,14,4,0,4,0,16.3,0.30,+2.3,+0.36,31,76,40.8,179,41,30.7,32.1,52,40.4,36.8,36,1,2.8,2,0.31,13.5,Matches
Alexander Schwolow,de GER,GK,Hertha BSC,28-256,1992,18.0,32,5,1,3,0,28.0,0.35,-4.0,-0.22,124,244,50.8,486,75,33.7,34.0,143,55.9,45.7,145,10,6.9,9,0.50,13.4,Matches
