player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,13.6,5,1,1,11,8,1,8,15,13,0,0,0,174,39,26,60.0,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,0.4,0,0,0,1,1,0,0,0,0,0,0,0,3,6,1,85.7,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,12.7,3,0,0,20,18,0,7,19,17,0,0,0,134,15,10,60.0,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,1.7,0,0,0,3,4,1,2,3,1,0,0,0,8,3,3,50.0,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,4.1,0,0,0,4,13,0,8,10,8,0,0,0,35,4,8,33.3,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,0.5,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,17.4,3,0,0,17,11,0,0,25,20,1,1,0,185,31,25,55.4,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,10.5,1,0,0,12,11,0,6,8,9,0,0,0,87,17,17,50.0,Matches
David Alaba,at AUT,DF,Bayern Munich,28-234,1992,18.1,1,0,0,13,8,0,18,20,12,0,0,0,197,18,14,56.3,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28-128,1992,9.2,2,0,0,13,12,12,0,3,4,0,0,0,30,24,47,33.8,Matches
Omar Alderete,py PAR,DF,Hertha BSC,24-049,1996,10.3,1,0,0,14,4,0,1,11,9,0,0,0,109,25,21,54.3,Matches
Nadiem Amiri,de GER,MF,Leverkusen,24-109,1996,14.1,2,0,0,13,16,2,18,18,7,0,0,0,122,5,20,20.0,Matches
Sebastian Andersson,se SWE,FW,Köln,29-213,1991,8.2,0,0,0,10,5,6,2,1,0,1,0,0,32,55,46,54.5,Matches
Robert Andrich,de GER,MF,Union Berlin,26-144,1994,16.1,2,1,0,28,22,0,4,26,28,0,0,0,220,33,18,64.7,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,24-040,1997,19.9,2,0,0,18,22,6,86,27,15,0,0,0,159,11,23,32.4,Matches
