player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,0.2,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,1,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,13.6,564,688,82.0,12077,4254,177,204,86.8,277,310,89.4,106,160,66.3,0,0.5,-0.5,2,50,3,2,43,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,0.7,18,22,81.8,295,27,7,9,77.8,9,10,90.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,0.4,6,12,50.0,61,0,3,6,50.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,12.7,628,743,84.5,10155,3109,317,351,90.3,249,284,87.7,49,81,60.5,0,0.4,-0.4,7,40,5,0,52,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,1.7,28,45,62.2,394,91,20,29,69.0,5,7,71.4,3,4,75.0,2,0.4,+1.6,4,1,3,1,3,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,4.1,107,150,71.3,1749,563,55,61,90.2,40,56,71.4,8,20,40.0,0,0.2,-0.2,1,3,2,2,5,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,0.5,18,22,81.8,311,80,8,10,80.0,9,9,100.0,1,2,50.0,0,0.0,0.0,1,3,0,0,1,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,17.4,1460,1571,92.9,30197,9650,467,492,94.9,775,804,96.4,210,254,82.7,0,0.1,-0.1,2,114,3,0,112,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,10.5,424,525,80.8,8693,2996,124,144,86.1,235,258,91.1,60,109,55.0,0,0.4,-0.4,2,20,1,0,32,Matches
David Alaba,at AUT,DF,Bayern Munich,28-234,1992,18.1,1233,1447,85.2,26051,8438,378,416,90.9,653,713,91.6,196,292,67.1,0,0.4,-0.4,10,153,18,2,116,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28-128,1992,9.2,148,200,74.0,2145,197,85,110,77.3,43,58,74.1,11,16,68.8,1,0.3,+0.7,7,6,2,0,4,Matches
Omar Alderete,py PAR,DF,Hertha BSC,24-049,1996,10.3,523,643,81.3,13169,5205,73,93,78.5,293,320,91.6,153,221,69.2,0,0.1,-0.1,2,35,2,0,47,Matches
Nadiem Amiri,de GER,MF,Leverkusen,24-109,1996,14.1,650,778,83.5,12226,2815,276,299,92.3,266,295,90.2,95,150,63.3,6,2.2,+3.8,27,66,17,4,68,Matches
Sebastian Andersson,se SWE,FW,Köln,29-213,1991,8.2,128,177,72.3,1794,262,81,103,78.6,37,53,69.8,6,9,66.7,0,0.3,-0.3,5,6,2,1,6,Matches
Robert Andrich,de GER,MF,Union Berlin,26-144,1994,16.1,635,822,77.3,11979,3294,263,317,83.0,277,342,81.0,82,131,62.6,1,1.4,-0.4,16,62,11,1,73,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,24-040,1997,19.9,892,1242,71.8,16295,6072,408,476,85.7,368,470,78.3,102,244,41.8,4,4.5,-0.5,48,55,47,23,88,Matches
Waldemar Anton,de GER,DF,Stuttgart,24-208,1996,16.1,968,1121,86.4,20435,6900,269,301,89.4,547,589,92.9,144,208,69.2,1,0.4,+0.6,7,37,6,2,58,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,31-302,1989,7.3,332,393,84.5,5998,1822,144,161,89.4,144,156,92.3,38,60,63.3,0,0.3,-0.3,5,29,5,0,38,Matches
Santiago Arias,co COL,DF,Leverkusen,29-031,1992,1.0,47,55,85.5,915,324,17,21,81.0,25,28,89.3,5,6,83.3,0,0.0,0.0,0,3,0,0,4,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,26-262,1994,16.1,718,901,79.7,16620,4778,226,260,86.9,302,346,87.3,181,265,68.3,4,2.3,+1.7,20,76,20,3,89,Matches
Toluwalas Arokodare,ng NGA,FW,Köln,20-082,2000,0.9,20,27,74.1,393,27,8,11,72.7,9,11,81.8,3,4,75.0,0,0.0,0.0,1,1,0,0,0,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23-354,1997,1.9,53,67,79.1,911,251,31,34,91.2,14,20,70.0,7,11,63.6,0,0.0,0.0,0,3,0,0,5,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,26-298,1994,12.3,421,646,65.2,8017,3741,172,204,84.3,183,249,73.5,61,171,35.7,4,2.0,+2.0,24,21,16,12,39,Matches
Taiwo Awoniyi,ng NGA,FW,Union Berlin,23-185,1997,13.4,172,257,66.9,2528,488,104,141,73.8,49,73,67.1,12,21,57.1,2,1.2,+0.8,14,12,1,0,11,Matches
