player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,0.2,15,12,3,0,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,13,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,13.6,688,631,57,17,1,75,23,8,0,0,0,0,433,93,162,68,499,54,40,1,564,3,7,5,10,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,0.7,22,22,0,0,0,9,0,0,0,0,0,0,19,2,1,1,20,0,0,0,18,0,0,1,0,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,0.4,12,12,0,0,0,6,0,0,0,0,0,0,5,4,3,1,5,1,0,0,6,0,0,0,1,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,12.7,743,683,60,13,0,103,3,7,0,0,0,0,531,111,101,80,567,31,47,4,628,1,4,20,15,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,1.7,45,44,1,0,0,9,0,2,0,0,0,0,22,14,9,6,31,7,0,0,28,0,1,3,5,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,4.1,150,113,37,1,0,25,1,8,0,0,0,0,84,27,39,26,80,5,36,0,107,0,2,7,6,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,0.5,22,22,0,0,0,9,0,1,0,0,0,0,17,3,2,2,19,1,0,0,18,0,0,0,1,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,17.4,1571,1532,39,26,1,110,46,0,0,0,0,0,1354,100,117,355,1131,51,13,3,1460,4,13,16,10,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,10.5,525,475,50,27,0,50,9,6,0,0,0,0,390,41,94,72,400,20,23,0,424,1,19,6,6,Matches
David Alaba,at AUT,DF,Bayern Munich,28-234,1992,18.1,1447,1381,66,36,3,81,31,18,1,0,1,0,1112,101,234,1196,167,45,29,2,1233,9,15,18,20,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28-128,1992,9.2,200,188,12,1,0,56,1,0,0,0,0,0,112,54,34,24,137,13,0,11,148,0,1,6,6,Matches
Omar Alderete,py PAR,DF,Hertha BSC,24-049,1996,10.3,643,625,18,18,0,48,17,1,0,0,0,0,459,35,149,563,40,27,0,2,523,4,6,12,8,Matches
Nadiem Amiri,de GER,MF,Leverkusen,24-109,1996,14.1,778,714,64,24,2,133,19,18,35,11,15,0,562,97,119,110,647,8,4,5,650,3,3,18,16,Matches
Sebastian Andersson,se SWE,FW,Köln,29-213,1991,8.2,177,163,14,0,0,65,1,2,0,0,0,0,86,45,46,14,95,17,0,15,128,1,3,3,7,Matches
Robert Andrich,de GER,MF,Union Berlin,26-144,1994,16.1,822,806,16,13,2,129,18,4,0,0,0,0,523,129,170,183,530,70,2,7,635,5,17,21,24,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,24-040,1997,19.9,1242,1002,240,40,3,131,45,86,35,13,15,1,656,232,354,910,108,51,165,3,892,8,18,25,55,Matches
Waldemar Anton,de GER,DF,Stuttgart,24-208,1996,16.1,1121,1061,60,32,1,111,15,8,0,0,0,0,861,99,161,163,855,44,27,6,968,3,13,13,19,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,31-302,1989,7.3,393,374,19,17,1,79,8,1,0,0,0,0,275,56,62,60,305,18,2,3,332,0,5,6,11,Matches
Santiago Arias,co COL,DF,Leverkusen,29-031,1992,1.0,55,47,8,1,0,12,0,0,0,0,0,0,39,9,7,3,42,3,7,0,47,0,0,1,1,Matches
