player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,2,18,9,1.0,0.2,0,,0,2,9,5,0.00,0,0,0,0.00,+1.06,1.0,0.0,+1.0,+4.88,+5.34,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,14,"1,222",87,67.9,13.6,14,87,12,0,,0,1.64,25,17,+8,+0.59,-0.03,24.0,18.0,+6.0,+0.44,+0.13,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,5,60,12,3.3,0.7,0,,0,5,12,7,2.40,1,1,0,0.00,-0.10,1.1,1.5,-0.4,-0.56,-0.45,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,2,36,18,2.0,0.4,0,,0,2,18,0,3.00,1,1,0,0.00,-0.61,0.5,0.3,+0.2,+0.43,+0.03,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,17,"1,144",67,60.5,12.7,12,86,9,5,22,1,2.18,19,14,+5,+0.39,-1.30,23.0,13.1,+9.9,+0.78,-0.54,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,9,154,17,8.6,1.7,0,,0,9,17,3,1.22,3,4,-1,-0.58,-0.26,3.8,6.2,-2.4,-1.40,-1.38,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,7,365,52,21.3,4.1,4,79,3,3,17,9,1.14,6,5,+1,+0.25,+0.51,4.3,5.5,-1.1,-0.28,+0.09,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,1,45,45,2.5,0.5,0,,0,1,45,1,0.00,2,3,-1,-2.00,-2.21,1.0,2.2,-1.2,-2.40,-2.82,Matches
Sören Ahlers,de GER,GK,Schalke 04,23-157,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Antonis Aidonis,de GER,DF,Stuttgart,19-267,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,18,"1,565",87,86.9,17.4,17,89,15,1,46,0,1.56,37,27,+10,+0.58,+0.58,35.9,19.0,+16.9,+0.97,-0.07,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,13,942,72,52.3,10.5,11,83,9,2,14,1,0.92,15,19,-4,-0.38,-0.07,17.4,20.1,-2.7,-0.26,-0.28,Matches
David Alaba,at AUT,DF,Bayern Munich,28-234,1992,19,"1,632",86,90.7,18.1,18,90,18,1,12,0,2.37,48,26,+22,+1.21,-4.14,37.4,26.7,+10.7,+0.59,-2.39,Matches
