player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,0.2,18,0,5,6,8,1,15,1,2,50.0,2,0,11,47,40,2,1,0,0,1,12,11,91.7,2,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,13.6,793,55,322,422,100,8,738,3,6,50.0,4,0,435,2311,1263,44,9,0,3,0,474,455,96.0,8,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,0.7,31,3,11,14,7,0,31,0,0,,0,0,14,53,29,0,0,0,0,2,21,17,81.0,0,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,0.4,17,1,2,10,6,3,17,0,0,,0,0,6,23,15,1,1,0,1,1,19,11,57.9,2,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,12.7,887,34,244,544,165,10,830,15,16,93.8,15,0,566,2790,1461,61,22,3,13,21,641,576,89.9,24,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,1.7,82,0,7,24,56,21,81,1,5,20.0,2,1,52,274,126,5,4,1,13,2,94,65,69.1,27,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,4.1,215,6,77,90,56,5,179,1,6,16.7,1,0,114,423,247,7,3,0,7,5,129,98,76.0,13,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,0.5,24,2,11,14,4,1,24,2,2,100.0,2,0,19,175,72,3,0,1,0,0,18,17,94.4,2,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,17.4,1723,158,762,1026,78,19,1684,11,12,91.7,11,0,1269,7583,4146,113,12,2,1,3,1371,1347,98.2,4,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,10.5,626,68,293,336,39,7,582,5,9,55.6,6,1,399,2008,1139,28,6,2,5,1,410,396,96.6,6,Matches
