player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,13.6,1,9,2,22.2,0.66,0.15,0.11,0.50,16.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,12.7,1,4,2,50.0,0.31,0.16,0.25,0.50,14.5,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,1.7,1,10,4,40.0,5.84,2.34,0.10,0.25,11.8,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,4.1,1,4,1,25.0,0.99,0.25,0.25,1.00,19.7,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,17.4,2,11,4,36.4,0.63,0.23,0.18,0.50,12.6,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,10.5,0,1,1,100.0,0.10,0.10,0.00,0.00,31.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
David Alaba,at AUT,DF,Bayern Munich,28-234,1992,18.1,2,9,2,22.2,0.50,0.11,0.22,1.00,27.0,2,0,0,0.3,0.3,0.04,+1.7,+1.7,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28-128,1992,9.2,8,27,13,48.1,2.94,1.42,0.22,0.46,13.3,0,2,2,4.8,3.3,0.12,+3.2,+2.7,Matches
Omar Alderete,py PAR,DF,Hertha BSC,24-049,1996,10.3,0,7,2,28.6,0.68,0.19,0.00,0.00,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Nadiem Amiri,de GER,MF,Leverkusen,24-109,1996,14.1,2,30,10,33.3,2.12,0.71,0.07,0.20,23.9,2,0,0,1.2,1.2,0.04,+0.8,+0.8,Matches
Sebastian Andersson,se SWE,FW,Köln,29-213,1991,8.2,2,21,7,33.3,2.56,0.85,0.05,0.14,11.9,0,1,1,3.3,2.6,0.12,-1.3,-1.6,Matches
Robert Andrich,de GER,MF,Union Berlin,26-144,1994,16.1,4,24,7,29.2,1.49,0.44,0.17,0.57,22.3,2,0,0,1.6,1.6,0.07,+2.4,+2.4,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,24-040,1997,19.9,4,30,10,33.3,1.51,0.50,0.13,0.40,15.2,3,0,0,3.5,3.5,0.12,+0.5,+0.5,Matches
Waldemar Anton,de GER,DF,Stuttgart,24-208,1996,16.1,0,7,3,42.9,0.43,0.19,0.00,0.00,15.8,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,31-302,1989,7.3,0,2,1,50.0,0.28,0.14,0.00,0.00,8.0,0,0,0,0.5,0.5,0.25,-0.5,-0.5,Matches
Santiago Arias,co COL,DF,Leverkusen,29-031,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,26-262,1994,16.1,2,24,7,29.2,1.49,0.43,0.08,0.29,30.2,7,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches
Toluwalas Arokodare,ng NGA,FW,Köln,20-082,2000,0.9,0,2,1,50.0,2.31,1.15,0.00,0.00,8.5,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23-354,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,26-298,1994,12.3,0,10,4,40.0,0.81,0.32,0.00,0.00,17.3,2,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Taiwo Awoniyi,ng NGA,FW,Union Berlin,23-185,1997,13.4,5,23,12,52.2,1.72,0.90,0.22,0.42,11.1,0,0,0,5.6,5.6,0.24,-0.6,-0.6,Matches
Leon Bailey,jm JAM,FW,Leverkusen,23-188,1997,16.2,5,44,14,31.8,2.72,0.86,0.11,0.36,21.9,3,0,0,4.7,4.7,0.11,+0.3,+0.3,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,22-311,1998,16.4,4,16,7,43.8,0.98,0.43,0.25,0.57,16.3,0,0,0,1.5,1.5,0.10,+2.5,+2.5,Matches
Ridle Baku,de GER,DF,Mainz 05,22-311,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,22-268,1998,7.8,2,13,4,30.8,1.67,0.52,0.15,0.50,19.3,1,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21-041,2000,12.7,1,8,2,25.0,0.63,0.16,0.13,0.50,17.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4,Matches
Jacob Barrett Laursen,dk DEN,DF,Arminia,26-088,1994,7.3,0,1,0,0.0,0.14,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,30-256,1990,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,33-042,1988,11.9,2,7,4,57.1,0.59,0.34,0.29,0.50,14.6,0,0,0,1.4,1.4,0.19,+0.6,+0.6,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21-196,1999,15.9,3,33,12,36.4,2.08,0.76,0.09,0.25,15.3,1,0,0,3.3,3.3,0.10,-0.3,-0.3,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,24-176,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,26-296,1994,11.3,4,19,8,42.1,1.67,0.71,0.21,0.50,14.7,0,0,0,3.2,3.2,0.17,+0.8,+0.8,Matches
Sheraldo Becker,nl NED,"FW,MF",Union Berlin,26-004,1995,11.9,3,31,10,32.3,2.60,0.84,0.10,0.30,22.0,0,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches
Timo Becker,de GER,DF,Schalke 04,23-325,1997,5.5,0,2,1,50.0,0.36,0.18,0.00,0.00,27.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Brian Behrendt,de GER,DF,Arminia,29-112,1991,0.9,0,2,0,0.0,2.28,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,18-119,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ishak Belfodil,dz ALG,FW,Hoffenheim,29-032,1992,6.4,0,12,4,33.3,1.87,0.62,0.00,0.00,11.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6,Matches
Stefan Bell,de GER,DF,Mainz 05,29-173,1991,4.6,0,2,0,0.0,0.43,0.00,0.00,,22.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,30-311,1990,4.8,0,12,4,33.3,2.51,0.84,0.00,0.00,17.0,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17-229,2003,8.9,0,14,5,35.7,1.57,0.56,0.00,0.00,17.8,0,0,0,1.5,1.5,0.11,-1.5,-1.5,Matches
Lars Bender,de GER,DF,Leverkusen,31-292,1989,10.4,0,9,0,0.0,0.87,0.00,0.00,,15.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Sven Bender,de GER,DF,Leverkusen,31-292,1989,6.9,0,1,0,0.0,0.14,0.00,0.00,,8.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
László Bénes,sk SVK,MF,M'Gladbach,23-157,1997,1.7,0,2,0,0.0,1.20,0.00,0.00,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
László Bénes,sk SVK,"MF,FW",Augsburg,23-157,1997,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25-303,1995,9.6,1,10,3,30.0,1.04,0.31,0.10,0.33,11.7,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,26-081,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bartosz Bialek,pl POL,"FW,MF",Wolfsburg,19-094,2001,2.0,2,6,4,66.7,3.07,2.05,0.33,0.50,9.7,0,0,0,1.9,1.9,0.32,+0.1,+0.1,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,31-020,1990,1.4,1,2,1,50.0,1.41,0.70,0.50,1.00,4.7,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches
Leonardo Bittencourt,de GER,"FW,MF",Werder Bremen,27-056,1993,11.5,4,33,9,27.3,2.86,0.78,0.09,0.33,20.7,6,1,1,4.1,3.3,0.10,-0.1,-0.3,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,32-163,1988,15.7,1,5,1,20.0,0.32,0.06,0.20,1.00,17.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26-328,1994,14.1,0,19,4,21.1,1.35,0.28,0.00,0.00,20.7,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18-261,2002,3.0,0,4,2,50.0,1.35,0.68,0.00,0.00,21.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Dennis Borkowski,de GER,MF,RB Leipzig,19-018,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21-328,1999,17.0,0,10,2,20.0,0.59,0.12,0.00,0.00,8.7,0,0,0,1.0,1.0,0.10,-1.0,-1.0,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21-238,1999,5.9,1,13,5,38.5,2.20,0.84,0.08,0.20,17.3,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,30-077,1990,12.8,0,8,0,0.0,0.62,0.00,0.00,,11.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Can Bozdogan,de GER,MF,Schalke 04,19-314,2001,4.5,0,7,1,14.3,1.56,0.22,0.00,0.00,21.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24-287,1996,10.9,1,18,6,33.3,1.65,0.55,0.06,0.17,17.9,1,0,0,2.0,2.0,0.11,-1.0,-1.0,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22-235,1998,13.4,2,35,13,37.1,2.61,0.97,0.06,0.15,20.3,2,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26-330,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John Brooks,us USA,DF,Wolfsburg,28-016,1993,18.2,2,8,2,25.0,0.44,0.11,0.25,1.00,11.6,0,0,0,0.6,0.6,0.08,+1.4,+1.4,Matches
Daniel Brosinski,de GER,DF,Mainz 05,32-211,1988,11.2,1,5,1,20.0,0.45,0.09,0.00,0.00,25.8,2,1,1,1.0,0.3,0.05,0.0,-0.3,Matches
Cédric Brunner,ch SUI,DF,Arminia,26-362,1994,16.1,0,3,1,33.3,0.19,0.06,0.00,0.00,18.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,22-147,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27-321,1993,6.7,1,12,4,33.3,1.80,0.60,0.08,0.25,15.7,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
Jonathan Burkardt,de GER,"FW,DF",Mainz 05,20-217,2000,9.5,1,20,5,25.0,2.11,0.53,0.05,0.20,13.1,0,0,0,3.1,3.1,0.16,-2.1,-2.1,Matches
Roman Bürki,ch SUI,GK,Dortmund,30-091,1990,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Caligiuri,it ITA,"MF,DF",Augsburg,33-029,1988,20.3,5,27,11,40.7,1.33,0.54,0.15,0.36,20.4,6,1,1,2.6,1.9,0.07,+2.4,+2.1,Matches
Emre Can,de GER,"DF,MF",Dortmund,27-032,1994,12.2,1,14,3,21.4,1.15,0.25,0.07,0.33,17.2,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28-233,1992,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gonzalo Castro,de GER,"MF,FW",Stuttgart,33-247,1987,12.8,3,22,9,40.9,1.72,0.70,0.14,0.33,17.3,1,0,0,2.9,2.9,0.14,+0.1,+0.1,Matches
Sava Cestic,de GER,DF,Köln,19-360,2001,7.3,0,1,0,0.0,0.14,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30-321,1990,0.7,0,1,0,0.0,1.36,0.00,0.00,,14.3,0,0,0,0.2,0.2,0.15,-0.2,-0.2,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26-228,1994,2.0,0,3,0,0.0,1.49,0.00,0.00,,13.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Tahith Chong,nl NED,"FW,MF",Werder Bremen,21-071,1999,4.3,0,9,1,11.1,2.10,0.23,0.00,0.00,20.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Darko Churlinov,mk MKD,"DF,FW",Stuttgart,20-217,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tim Civeja,de GER,"MF,DF",Augsburg,19-040,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24-245,1996,11.4,3,31,11,35.5,2.71,0.96,0.10,0.27,17.5,0,0,0,2.4,2.4,0.08,+0.6,+0.6,Matches
Jhon Córdoba,co COL,FW,Hertha BSC,27-278,1993,10.0,5,33,12,36.4,3.31,1.21,0.15,0.42,12.7,0,0,0,4.6,4.6,0.14,+0.4,+0.4,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,23-188,1997,9.9,2,16,3,18.8,1.62,0.30,0.13,0.67,15.0,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27-215,1993,1.2,0,3,0,0.0,2.45,0.00,0.00,,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
