,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,0,Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-140,1998,2,0,18,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,1,David Abraham,ar ARG,DF,Eint Frankfurt,34-213,1986,14,14,1222,13.6,1,0,1,0,0,5,1,0.07,0.0,0.07,0.07,0.07,0.7,0.7,0.5,1.1,0.05,0.03,0.08,0.05,0.08,Matches
2,2,Amir Abrashi,al ALB,MF,Freiburg,30-323,1990,5,0,60,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3,3,Ragnar Ache,de GER,FW,Eint Frankfurt,22-200,1998,2,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
4,4,Tyler Adams,us USA,"MF,DF",RB Leipzig,21-365,1999,17,12,1144,12.7,1,0,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,0.5,0.5,0.4,0.9,0.04,0.03,0.07,0.04,0.07,Matches
5,5,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-266,1993,9,0,154,1.7,1,2,1,0,0,0,0,0.58,1.17,1.75,0.58,1.75,1.1,1.1,0.4,1.4,0.63,0.21,0.83,0.63,0.83,Matches
6,6,Felix Agu,de GER,"DF,FW",Werder Bremen,21-139,1999,7,4,365,4.1,1,0,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,0.6,0.6,0.2,0.8,0.14,0.06,0.19,0.14,0.19,Matches
7,7,Naouirou Ahamada,fr FRA,MF,Stuttgart,18-321,2002,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches
8,8,Manuel Akanji,ch SUI,DF,Dortmund,25-209,1995,18,17,1565,17.4,2,0,2,0,0,3,0,0.12,0.0,0.12,0.12,0.12,1.5,1.5,0.1,1.6,0.09,0.0,0.09,0.09,0.09,Matches
9,9,Kevin Akpoguma,ng NGA,DF,Hoffenheim,25-300,1995,13,11,942,10.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.04,0.04,0.0,0.04,Matches
10,10,David Alaba,at AUT,DF,Bayern Munich,28-234,1992,19,18,1632,18.1,2,0,2,0,0,1,0,0.11,0.0,0.11,0.11,0.11,0.3,0.3,0.4,0.8,0.02,0.02,0.04,0.02,0.04,Matches
11,11,Lucas Alario,ar ARG,FW,Leverkusen,28-128,1992,16,8,826,9.2,8,1,6,2,2,2,0,0.87,0.11,0.98,0.65,0.76,4.8,3.3,0.3,3.7,0.52,0.03,0.56,0.36,0.4,Matches
12,12,Omar Alderete,py PAR,DF,Hertha BSC,24-049,1996,11,10,929,10.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
13,13,Nadiem Amiri,de GER,MF,Leverkusen,24-109,1996,17,14,1272,14.1,2,6,2,0,0,2,0,0.14,0.42,0.57,0.14,0.57,1.2,1.2,2.2,3.4,0.08,0.16,0.24,0.08,0.24,Matches
14,14,Sebastian Andersson,se SWE,FW,Köln,29-213,1991,10,9,737,8.2,2,0,1,1,1,0,0,0.24,0.0,0.24,0.12,0.12,3.3,2.6,0.3,2.9,0.41,0.04,0.45,0.32,0.36,Matches
15,15,Robert Andrich,de GER,MF,Union Berlin,26-144,1994,17,17,1446,16.1,4,1,4,0,0,2,1,0.25,0.06,0.31,0.25,0.31,1.6,1.6,1.4,3.0,0.1,0.09,0.19,0.1,0.19,Matches
16,16,Angeliño,es ESP,"DF,FW",RB Leipzig,24-040,1997,20,20,1787,19.9,4,4,4,0,0,2,0,0.2,0.2,0.4,0.2,0.4,3.5,3.5,4.5,8.0,0.18,0.23,0.4,0.18,0.4,Matches
17,17,Waldemar Anton,de GER,DF,Stuttgart,24-208,1996,17,16,1451,16.1,0,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06,0.9,0.9,0.4,1.3,0.05,0.03,0.08,0.05,0.08,Matches
18,18,Charles Aránguiz,cl CHI,MF,Leverkusen,31-302,1989,9,8,653,7.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,0.07,0.04,0.11,0.07,0.11,Matches
19,19,Santiago Arias,co COL,DF,Leverkusen,29-031,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
20,20,Maximilian Arnold,de GER,MF,Wolfsburg,26-262,1994,17,17,1451,16.1,2,4,2,0,0,4,1,0.12,0.25,0.37,0.12,0.37,1.1,1.1,2.3,3.4,0.07,0.14,0.21,0.07,0.21,Matches
21,21,Toluwalas Arokodare,ng NGA,FW,Köln,20-082,2000,8,0,78,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.28,0.02,0.3,0.28,0.3,Matches
22,22,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23-354,1997,2,2,168,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
