player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,14.7,33,23,19,10,4,11,20,55.0,9,172,57,33.1,75,67,30,25,2,0,23,15,48,17,0,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,0.4,0,0,0,0,0,0,1,0.0,1,5,1,20.0,1,0,4,1,0,0,1,0,0,0,0,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,7.6,12,6,5,5,2,2,11,18.2,9,92,26,28.3,36,43,13,14,1,1,13,15,27,13,1,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,8.1,17,10,12,4,1,5,12,41.7,7,99,35,35.4,54,44,1,14,2,0,12,9,26,56,0,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,4.9,14,9,13,1,0,8,13,61.5,5,56,17,30.4,41,13,2,15,3,0,12,5,19,21,2,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,4.1,12,8,3,9,0,2,5,40.0,3,74,20,27.0,17,52,5,6,1,0,5,6,18,6,0,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,0.8,1,1,0,1,0,0,2,0.0,2,9,4,44.4,3,5,1,1,0,0,1,0,1,1,0,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,18.3,21,11,10,9,2,15,38,39.5,23,160,50,31.3,54,78,28,44,3,0,41,18,39,27,0,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,21.8,13,8,9,4,0,6,12,50.0,6,118,41,34.7,55,60,3,25,12,1,13,11,24,109,1,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,10.1,4,3,1,1,2,1,5,20.0,4,84,28,33.3,4,36,44,8,0,0,8,4,8,1,0,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,7.0,6,6,5,1,0,4,4,100.0,0,34,9,26.5,26,7,1,17,8,0,9,13,19,44,0,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,13.3,40,23,24,16,0,11,40,27.5,29,273,83,30.4,121,130,22,25,4,0,21,11,51,21,1,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,3.3,5,2,2,2,1,1,12,8.3,11,99,15,15.2,31,41,27,8,0,0,8,0,5,4,0,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,0.5,0,0,0,0,0,0,0,,0,14,1,7.1,5,8,1,0,0,0,0,0,0,0,0,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,5.2,6,2,1,4,1,3,11,27.3,8,72,21,29.2,13,37,22,8,1,0,7,2,8,1,0,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,12.2,28,19,4,21,3,4,17,23.5,13,244,70,28.7,63,154,27,21,2,0,19,6,34,27,0,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13.0,18,12,9,8,1,5,12,41.7,7,92,29,31.5,50,38,4,13,4,0,9,22,40,68,0,Matches
Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,4.0,8,8,4,2,2,2,13,15.4,11,78,31,39.7,29,37,12,10,1,0,9,5,13,7,0,Matches
Aritz Arambarri,es ESP,DF,Real Sociedad,23-013,1998,0.3,0,0,0,0,0,0,1,0.0,1,6,2,33.3,1,3,2,0,0,0,0,0,0,0,0,Matches
Mauro Arambarri,uy URU,MF,Getafe,25-136,1995,19.8,42,30,14,21,7,9,38,23.7,29,411,108,26.3,92,249,70,32,3,0,29,29,71,27,0,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,29-168,1991,17.9,15,11,8,6,1,2,8,25.0,6,156,52,33.3,76,72,8,23,11,0,12,22,37,99,0,Matches
Ronald Araújo,uy URU,DF,Barcelona,21-343,1999,10.4,16,12,10,6,0,4,5,80.0,1,101,37,36.6,43,57,1,23,12,0,11,9,25,38,1,Matches
Anaitz Arbilla,es ESP,DF,Eibar,33-274,1987,15.4,29,12,19,7,3,11,25,44.0,14,125,45,36.0,57,48,20,34,3,0,31,26,55,53,0,Matches
Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,22-043,1999,0.4,0,0,0,0,0,0,0,,0,4,2,50.0,0,0,4,0,0,0,0,0,0,0,0,Matches
