player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,14.7,30,2.04,21,3,3,2,0,1,2,0.14,1,0,0,1,0,0,0,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,7.6,14,1.84,10,3,0,0,0,1,2,0.26,2,0,0,0,0,0,0,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,8.1,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,4.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,4.1,5,1.21,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,0,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,18.3,48,2.62,47,1,0,0,0,0,6,0.33,6,0,0,0,0,0,0,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,21.8,7,0.32,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,10.1,17,1.68,13,0,1,2,1,0,7,0.69,4,0,1,2,0,0,0,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,7.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,13.3,14,1.05,14,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,3.3,7,2.11,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,5.2,16,3.08,8,3,1,2,1,1,2,0.39,2,0,0,0,0,0,0,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,12.2,8,0.65,8,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13.0,8,0.62,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,4.0,5,1.25,4,0,0,0,0,1,1,0.25,1,0,0,0,0,0,0,Matches
Aritz Arambarri,es ESP,DF,Real Sociedad,23-013,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mauro Arambarri,uy URU,MF,Getafe,25-136,1995,19.8,25,1.26,14,6,1,2,1,1,2,0.10,1,0,0,1,0,0,0,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,29-168,1991,17.9,6,0.35,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ronald Araújo,uy URU,DF,Barcelona,21-343,1999,10.4,4,0.38,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Anaitz Arbilla,es ESP,DF,Eibar,33-274,1987,15.4,19,1.24,12,2,3,1,0,1,3,0.20,1,0,1,1,0,0,0,Matches
Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,22-043,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sergio Arribas,es ESP,FW,Real Madrid,19-136,2001,0.5,1,1.96,1,0,0,0,0,0,1,1.96,1,0,0,0,0,0,0,Matches
Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22.0,2,0.09,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Marco Asensio,es ESP,FW,Real Madrid,25-023,1996,12.2,36,2.95,23,6,1,3,2,1,5,0.41,3,1,0,1,0,0,0,Matches
Iago Aspas,es ESP,FW,Celta Vigo,33-196,1987,19.3,77,4.21,58,1,11,5,2,0,14,0.76,9,0,4,1,0,0,0,Matches
Miguel Atienza,es ESP,"MF,FW",Eibar,21-262,1999,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ramon Azeez,ng NGA,"MF,DF",Granada,28-063,1992,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Carlos Bacca,co COL,FW,Villarreal,34-158,1986,3.4,5,1.48,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Édgar Badía,es ESP,GK,Elche,29-001,1992,21.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,5.1,13,2.57,7,2,0,2,1,1,0,0.00,0,0,0,0,0,0,0,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,6.6,4,0.61,3,1,0,0,0,0,2,0.30,2,0,0,0,0,0,0,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1.0,1,1.00,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,7.0,24,3.42,19,3,1,1,0,0,3,0.43,2,1,0,0,0,0,0,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,6.3,18,2.87,13,1,3,0,1,0,3,0.48,2,0,0,0,1,0,0,Matches
Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1.0,3,3.00,0,2,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Antonio Barragán,es ESP,DF,Elche,33-246,1987,15.5,15,0.97,10,1,1,1,2,0,4,0.26,2,0,1,0,1,0,0,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,8.7,19,2.19,15,0,2,2,0,0,2,0.23,2,0,0,0,0,0,0,Matches
Marc Bartra,es ESP,DF,Betis,30-029,1991,12.8,4,0.31,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,16.8,12,0.71,5,0,0,4,2,1,0,0.00,0,0,0,0,0,0,0,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,1.9,2,1.03,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,8.3,18,2.21,14,1,2,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,19.7,54,2.74,40,0,6,7,1,0,11,0.56,8,0,2,1,0,0,0,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,14.2,32,2.26,26,1,2,0,2,1,6,0.42,5,0,0,0,1,0,0,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,12.4,36,2.90,22,11,2,0,0,1,5,0.40,3,1,0,0,0,1,0,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,15.6,8,0.51,5,1,1,0,0,1,1,0.06,1,0,0,0,0,0,0,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,2.9,4,1.40,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,2.8,6,2.15,2,0,0,0,2,2,0,0.00,0,0,0,0,0,0,0,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18.0,3,0.17,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,14.8,14,1.02,9,0,2,0,3,0,2,0.15,1,0,1,0,0,0,0,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,10.1,15,1.48,10,0,0,1,3,1,2,0.20,0,0,0,1,0,1,0,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,2.2,1,0.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9.0,3,0.33,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,6.3,2,0.32,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
