player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22,22,"1,980",22.0,23,1.05,56,39,66.1,8,12,2,6,27.3,4,4,0,0,0.0,Matches
Édgar Badía,es ESP,GK,Elche,29-001,1992,21,21,"1,890",21.0,31,1.48,96,67,70.8,3,9,9,4,19.0,6,3,2,1,40.0,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16,16,"1,440",16.0,24,1.50,55,32,58.2,6,5,5,4,25.0,1,1,0,0,0.0,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18,18,"1,620",18.0,13,0.72,55,45,78.2,11,3,4,8,44.4,3,1,2,0,66.7,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9,9,810,9.0,16,1.78,37,23,62.2,4,1,4,3,33.3,3,2,1,0,33.3,Matches
Dani Cárdenas,es ESP,GK,Levante,23-322,1997,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
Alberto Cifuentes,es ESP,GK,Cádiz,41-260,1979,2,2,180,2.0,3,1.50,6,3,50.0,1,0,1,1,50.0,0,0,0,0,,Matches
Thibaut Courtois,be BEL,GK,Real Madrid,28-278,1992,22,22,"1,980",22.0,19,0.86,61,48,78.7,14,4,4,9,40.9,8,6,2,0,25.0,Matches
Marko Dmitrović,rs SRB,GK,Eibar,29-020,1992,22,22,"1,950",21.7,25,1.15,76,51,69.7,4,8,10,7,31.8,4,2,1,1,33.3,Matches
Jaume Doménech,es ESP,GK,Valencia,30-100,1990,22,22,"1,980",22.0,30,1.36,96,70,71.9,5,9,8,4,18.2,4,3,1,0,25.0,Matches
Aitor Fernández,es ESP,GK,Levante,29-286,1991,19,19,"1,710",19.0,28,1.47,76,49,65.8,6,8,5,1,5.3,2,2,0,0,0.0,Matches
