player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,14.7,1,0,0,25,10,1,36,15,23,0,1,0,137,11,16,40.7,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,7.6,0,0,0,9,11,1,13,15,6,0,0,0,42,7,15,31.8,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,8.1,1,0,0,9,9,1,1,9,10,0,0,0,94,24,21,53.3,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,4.9,2,1,1,5,1,0,9,5,9,0,0,0,51,11,4,73.3,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,4.1,5,1,1,11,1,0,2,6,8,0,0,0,36,8,8,50.0,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,0.8,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0.0,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,18.3,7,0,0,11,8,4,61,18,11,0,0,1,182,3,6,33.3,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,21.8,3,0,0,8,12,1,2,11,8,0,1,0,197,42,34,55.3,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,10.1,0,0,0,4,5,12,3,4,3,0,0,0,25,6,25,19.4,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,7.0,2,0,0,9,5,1,0,13,6,0,0,1,36,15,13,53.6,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,13.3,5,0,0,26,16,0,2,11,23,0,0,0,149,29,36,44.6,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,3.3,2,0,0,12,12,2,11,0,2,0,0,0,21,8,5,61.5,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,5.2,1,0,0,13,10,0,6,2,2,0,0,0,30,6,12,33.3,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,12.2,3,0,0,28,15,0,4,6,19,0,0,0,182,34,37,47.9,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13.0,6,0,0,13,14,0,1,22,12,0,0,0,136,44,21,67.7,Matches
Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,4.0,1,0,0,7,3,0,1,5,8,0,0,0,43,13,12,52.0,Matches
Aritz Arambarri,es ESP,DF,Real Sociedad,23-013,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,50.0,Matches
Mauro Arambarri,uy URU,MF,Getafe,25-136,1995,19.8,6,0,0,31,47,0,33,29,30,0,0,0,207,24,40,37.5,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,29-168,1991,17.9,4,0,0,22,4,0,2,22,11,0,0,0,185,46,24,65.7,Matches
Ronald Araújo,uy URU,DF,Barcelona,21-343,1999,10.4,0,0,0,5,13,1,0,9,12,1,0,0,98,36,8,81.8,Matches
Anaitz Arbilla,es ESP,DF,Eibar,33-274,1987,15.4,6,0,0,24,8,0,19,26,12,0,1,0,258,43,33,56.6,Matches
Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,22-043,1999,0.4,1,0,0,3,1,2,0,0,0,0,0,0,1,0,2,0.0,Matches
Sergio Arribas,es ESP,FW,Real Madrid,19-136,2001,0.5,0,0,0,0,1,1,0,0,1,0,0,0,6,0,1,0.0,Matches
Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22.0,0,0,0,0,1,0,0,0,0,0,0,0,89,0,0,,Matches
Marco Asensio,es ESP,FW,Real Madrid,25-023,1996,12.2,1,0,0,4,24,1,39,5,8,0,0,0,70,5,3,62.5,Matches
Iago Aspas,es ESP,FW,Celta Vigo,33-196,1987,19.3,5,0,0,16,39,7,22,13,3,0,0,0,90,13,31,29.5,Matches
Miguel Atienza,es ESP,"MF,FW",Eibar,21-262,1999,1.2,1,0,0,2,1,0,0,1,3,0,0,0,9,3,4,42.9,Matches
Ramon Azeez,ng NGA,"MF,DF",Granada,28-063,1992,1.1,0,0,0,1,1,0,1,0,3,0,0,0,12,4,1,80.0,Matches
Carlos Bacca,co COL,FW,Villarreal,34-158,1986,3.4,1,0,0,4,4,3,3,1,4,0,0,0,9,5,10,33.3,Matches
Édgar Badía,es ESP,GK,Elche,29-001,1992,21.0,0,0,0,0,4,0,0,0,0,0,0,0,110,0,0,,Matches
Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,0.5,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,,Matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,5.1,0,0,0,4,8,4,5,6,5,0,0,0,27,8,8,50.0,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,6.6,0,0,0,8,7,0,14,5,8,0,0,0,53,5,10,33.3,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1.0,1,0,0,2,1,0,1,1,0,1,0,0,14,4,0,100.0,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,7.0,1,0,0,15,5,2,16,7,7,0,0,0,57,1,12,7.7,Matches
