player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,14.7,798,989,80.7,15535,6404,309,342,90.4,374,426,87.8,105,194,54.1,0,1.3,-1.3,16,62,19,9,66,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,0.4,7,10,70.0,99,1,3,3,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,7.6,199,279,71.3,3849,1874,89,106,84.0,79,111,71.2,26,49,53.1,1,0.8,+0.2,8,19,10,6,20,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,8.1,313,374,83.7,7010,2260,75,85,88.2,175,196,89.3,62,82,75.6,0,0.6,-0.6,2,26,2,0,28,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,4.9,107,170,62.9,1897,923,51,61,83.6,45,71,63.4,9,32,28.1,0,0.0,0.0,0,5,2,2,5,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,4.1,167,182,91.8,3227,592,58,63,92.1,83,86,96.5,22,28,78.6,0,0.4,-0.4,2,13,1,1,6,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,0.8,14,16,87.5,289,41,3,3,100.0,8,9,88.9,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,18.3,1382,1617,85.5,21947,7015,759,818,92.8,507,594,85.4,94,142,66.2,3,4.3,-1.3,30,83,37,7,119,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,21.8,1180,1334,88.5,28282,8067,246,266,92.5,633,680,93.1,299,377,79.3,0,0.1,-0.1,2,52,2,0,63,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,10.1,115,162,71.0,1731,288,72,92,78.3,22,38,57.9,13,17,76.5,3,2.1,+0.9,10,2,4,0,5,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,7.0,146,193,75.6,3838,1107,26,30,86.7,76,81,93.8,44,80,55.0,0,0.0,0.0,0,11,0,0,9,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,13.3,553,663,83.4,12020,2917,192,217,88.5,240,267,89.9,116,162,71.6,0,0.5,-0.5,6,65,5,0,41,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,3.3,38,69,55.1,619,253,23,34,67.6,12,19,63.2,3,11,27.3,0,0.2,-0.2,2,3,4,1,7,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,0.5,38,42,90.5,725,166,14,17,82.4,14,15,93.3,8,8,100.0,0,0.0,0.0,0,2,0,0,6,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,5.2,165,213,77.5,3375,791,67,79,84.8,58,67,86.6,37,56,66.1,2,0.9,+1.1,8,27,8,1,26,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,12.2,361,482,74.9,7085,1506,131,161,81.4,162,204,79.4,57,93,61.3,0,0.8,-0.8,6,36,2,1,27,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13.0,503,618,81.4,11587,3487,140,162,86.4,235,275,85.5,122,169,72.2,0,0.4,-0.4,4,28,4,0,33,Matches
Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,4.0,110,136,80.9,2116,529,42,49,85.7,49,59,83.1,15,21,71.4,0,0.1,-0.1,2,14,1,1,6,Matches
Aritz Arambarri,es ESP,DF,Real Sociedad,23-013,1998,0.3,15,20,75.0,312,146,2,2,100.0,11,12,91.7,2,5,40.0,0,0.0,0.0,0,1,0,0,1,Matches
Mauro Arambarri,uy URU,MF,Getafe,25-136,1995,19.8,476,688,69.2,10860,2428,153,192,79.7,199,260,76.5,117,215,54.4,0,0.9,-0.9,9,54,13,4,52,Matches
Néstor Araujo,mx MEX,DF,Celta Vigo,29-168,1991,17.9,887,1048,84.6,19928,5780,200,224,89.3,509,551,92.4,171,254,67.3,0,0.4,-0.4,3,51,1,1,45,Matches
Ronald Araújo,uy URU,DF,Barcelona,21-343,1999,10.4,572,628,91.1,11690,2610,162,172,94.2,325,341,95.3,78,104,75.0,0,0.0,0.0,0,23,0,0,15,Matches
Anaitz Arbilla,es ESP,DF,Eibar,33-274,1987,15.4,721,970,74.3,15956,6356,253,290,87.2,299,366,81.7,159,285,55.8,1,0.6,+0.4,7,77,8,4,81,Matches
Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,22-043,1999,0.4,3,6,50.0,44,15,1,3,33.3,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
Sergio Arribas,es ESP,FW,Real Madrid,19-136,2001,0.5,24,33,72.7,347,54,12,15,80.0,8,10,80.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
Sergio Asenjo,es ESP,GK,Villarreal,31-230,1989,22.0,606,763,79.4,17952,10327,97,97,100.0,305,310,98.4,204,356,57.3,0,0.0,0.0,0,8,0,0,0,Matches
Marco Asensio,es ESP,FW,Real Madrid,25-023,1996,12.2,479,602,79.6,7548,1694,279,309,90.3,145,171,84.8,44,83,53.0,2,1.8,+0.2,19,27,22,5,41,Matches
Iago Aspas,es ESP,FW,Celta Vigo,33-196,1987,19.3,525,695,75.5,8242,1889,293,366,80.1,165,208,79.3,44,62,71.0,6,5.3,+0.7,37,27,27,2,60,Matches
Miguel Atienza,es ESP,"MF,FW",Eibar,21-262,1999,1.2,19,27,70.4,354,49,10,14,71.4,3,6,50.0,5,5,100.0,0,0.0,0.0,0,1,0,0,2,Matches
Ramon Azeez,ng NGA,"MF,DF",Granada,28-063,1992,1.1,28,38,73.7,416,47,17,22,77.3,11,15,73.3,0,1,0.0,0,0.0,0.0,0,3,0,0,0,Matches
Carlos Bacca,co COL,FW,Villarreal,34-158,1986,3.4,51,74,68.9,818,206,29,37,78.4,11,17,64.7,6,11,54.5,0,0.8,-0.8,4,5,4,1,7,Matches
Édgar Badía,es ESP,GK,Elche,29-001,1992,21.0,618,792,78.0,17114,10504,107,108,99.1,263,265,99.2,213,384,55.5,0,0.0,0.0,1,5,0,0,1,Matches
Alejandro Baena,es ESP,MF,Villarreal,19-208,2001,0.5,13,14,92.9,210,22,6,6,100.0,6,7,85.7,1,1,100.0,0,0.0,0.0,0,1,0,0,0,Matches
Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20-323,2000,5.1,140,174,80.5,2380,538,68,83,81.9,48,57,84.2,18,24,75.0,0,0.6,-0.6,6,9,6,2,11,Matches
Mikel Balenziaga,es ESP,DF,Athletic Club,32-350,1988,6.6,253,347,72.9,4293,1617,124,145,85.5,105,134,78.4,21,51,41.2,1,0.1,+0.9,1,22,2,2,20,Matches
Sergio Barcia,es ESP,DF,Granada,20-044,2000,1.0,13,34,38.2,252,104,5,9,55.6,6,13,46.2,2,10,20.0,0,0.0,0.0,0,2,0,0,1,Matches
Enis Bardhi,mk MKD,MF,Levante,25-226,1995,7.0,242,336,72.0,4472,1476,109,137,79.6,90,119,75.6,39,68,57.4,2,0.5,+1.5,11,23,14,4,35,Matches
Kike Barja,es ESP,"MF,FW",Osasuna,23-318,1997,6.3,139,198,70.2,2335,696,71,83,85.5,56,72,77.8,9,27,33.3,2,1.3,+0.7,11,6,9,5,16,Matches
Marc Baró Ortiz,es ESP,DF,Cádiz,21-174,1999,1.0,10,19,52.6,211,150,5,6,83.3,3,6,50.0,2,6,33.3,0,0.3,-0.3,2,0,0,0,0,Matches
Antonio Barragán,es ESP,DF,Elche,33-246,1987,15.5,716,854,83.8,13994,5047,275,302,91.1,327,367,89.1,104,162,64.2,1,0.6,+0.4,4,27,7,2,42,Matches
Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19-048,2001,8.7,168,238,70.6,2715,590,92,115,80.0,56,76,73.7,16,26,61.5,0,0.8,-0.8,7,9,7,1,16,Matches
Marc Bartra,es ESP,DF,Betis,30-029,1991,12.8,571,697,81.9,12779,3692,156,170,91.8,299,338,88.5,111,182,61.0,0,0.0,0.0,1,22,1,0,25,Matches
Rodrigo Battaglia,ar ARG,MF,Alavés,29-216,1991,16.8,461,559,82.5,8361,1804,201,227,88.5,203,235,86.4,48,74,64.9,0,0.0,0.0,1,34,3,0,28,Matches
Jon Bautista,es ESP,"FW,MF",Real Sociedad,25-225,1995,1.9,20,39,51.3,356,63,11,17,64.7,6,12,50.0,3,8,37.5,0,0.1,-0.1,2,1,1,0,2,Matches
Fran Beltrán,es ESP,"MF,FW",Celta Vigo,22-010,1999,8.3,312,338,92.3,5894,1210,126,135,93.3,141,145,97.2,42,50,84.0,0,0.2,-0.2,4,27,6,2,18,Matches
Sergio Benito,es ESP,FW,Valladolid,21-327,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Karim Benzema,fr FRA,FW,Real Madrid,33-056,1987,19.7,599,726,82.5,8484,1573,381,426,89.4,160,196,81.6,38,53,71.7,5,2.3,+2.7,17,32,13,1,41,Matches
Yuri Berchiche,es ESP,DF,Athletic Club,31-003,1990,14.2,649,799,81.2,12545,4784,277,328,84.5,268,318,84.3,92,125,73.6,3,1.7,+1.3,15,48,23,11,89,Matches
Álex Berenguer,es ESP,"FW,MF",Athletic Club,25-224,1995,12.4,319,475,67.2,5084,1550,183,219,83.6,98,133,73.7,28,87,32.2,2,1.7,+0.3,20,11,19,6,31,Matches
Pedro Bigas,es ESP,DF,Eibar,30-151,1990,15.6,410,580,70.7,10603,3529,75,102,73.5,216,263,82.1,115,205,56.1,0,0.0,0.0,0,25,1,0,33,Matches
Alejandro Blanco,es ESP,MF,Valencia,22-059,1998,2.9,45,65,69.2,630,106,27,35,77.1,15,20,75.0,1,3,33.3,0,0.1,-0.1,2,3,0,0,1,Matches
Rubén Blanco,es ESP,GK,Celta Vigo,25-203,1995,16.0,389,554,70.2,11189,6666,81,82,98.8,171,172,99.4,135,298,45.3,0,0.0,0.0,0,4,1,0,0,Matches
Yann Bodiger,fr FRA,MF,Cádiz,26-004,1995,2.8,67,96,69.8,1154,271,33,43,76.7,24,28,85.7,7,17,41.2,0,0.1,-0.1,2,7,0,0,4,Matches
Yassine Bounou,ma MAR,GK,Sevilla,29-314,1991,18.0,443,564,78.5,13570,7227,68,68,100.0,194,196,99.0,179,297,60.3,0,0.0,0.0,1,4,0,0,1,Matches
Lucas Boyé,ar ARG,FW,Elche,24-351,1996,14.8,228,278,82.0,3237,472,139,161,86.3,54,66,81.8,17,22,77.3,1,0.4,+0.6,4,19,2,0,14,Matches
Martin Braithwaite,dk DEN,FW,Barcelona,29-253,1991,10.1,175,214,81.8,2297,269,122,136,89.7,39,54,72.2,10,14,71.4,0,0.8,-0.8,5,5,4,0,6,Matches
Darko Brašanac,rs SRB,"MF,FW",Osasuna,29-001,1992,2.2,47,65,72.3,784,203,23,25,92.0,21,28,75.0,2,6,33.3,0,0.0,0.0,1,4,3,0,7,Matches
Alvaro Bravo Jiménez,es ESP,MF,Granada,23-009,1998,0.2,8,11,72.7,126,19,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
Claudio Bravo,cl CHI,GK,Betis,37-306,1983,9.0,208,305,68.2,6651,4304,43,44,97.7,75,75,100.0,87,183,47.5,0,0.0,0.0,1,8,0,0,0,Matches
Yan Brice Eteki,cm CMR,MF,Granada,23-171,1997,6.3,95,131,72.5,1687,384,39,46,84.8,44,55,80.0,10,23,43.5,0,0.0,0.0,1,11,0,0,9,Matches
Bryan,es ESP,FW,Sevilla,20-002,2001,0.1,5,7,71.4,68,9,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Bryan,es ESP,"MF,FW",Eibar,20-002,2001,13.1,306,497,61.6,4910,1868,180,218,82.6,88,142,62.0,29,97,29.9,1,3.5,-2.5,31,24,28,10,42,Matches
Ante Budimir,hr CRO,FW,Osasuna,29-206,1991,8.2,127,200,63.5,1760,314,80,113,70.8,35,61,57.4,7,11,63.6,0,0.5,-0.5,5,10,0,0,9,Matches
Esteban Burgos,ar ARG,DF,Eibar,29-035,1992,10.4,329,448,73.4,8926,2292,64,81,79.0,143,185,77.3,120,173,69.4,1,0.1,+0.9,2,21,0,0,24,Matches
Sergio Busquets,es ESP,MF,Barcelona,32-212,1988,14.4,1241,1360,91.3,22147,5921,538,572,94.1,535,569,94.0,133,170,78.2,0,1.9,-1.9,17,138,15,0,105,Matches
