player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,14.7,989,852,137,15,1,97,28,36,7,1,4,0,572,172,245,714,122,28,115,2,798,1,20,18,28,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,0.4,10,10,0,0,0,0,0,2,0,0,0,0,7,1,2,9,0,1,0,0,7,0,0,0,0,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,7.6,279,216,63,12,1,28,9,13,0,0,0,0,141,64,74,23,177,21,51,1,199,2,7,9,9,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,8.1,374,365,9,8,2,45,5,1,0,0,0,0,271,43,60,53,279,25,1,4,313,3,8,4,10,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,4.9,170,113,57,3,0,24,4,9,0,0,0,0,58,51,61,2,93,12,54,1,107,1,7,7,6,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,4.1,182,181,1,1,0,20,3,2,0,0,0,0,149,16,17,21,150,5,0,1,167,0,1,3,0,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,0.8,16,16,0,0,0,2,0,0,0,0,0,0,15,1,0,2,14,0,0,0,14,0,1,0,0,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,18.3,1617,1477,140,15,3,96,25,61,2,0,0,0,1219,259,139,1253,213,20,123,6,1382,2,15,21,55,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,21.8,1334,1283,51,48,0,114,52,2,0,0,0,0,1043,91,200,185,1066,52,3,2,1180,0,19,9,12,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,10.1,162,141,21,0,4,24,4,3,0,0,0,0,101,37,24,18,125,10,1,2,115,2,3,6,5,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,7.0,193,181,12,12,0,16,16,0,0,0,0,0,117,12,64,9,162,15,0,1,146,2,5,1,2,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,13.3,663,638,25,21,1,88,47,2,1,1,0,0,437,64,162,102,511,24,3,4,553,3,19,11,13,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,3.3,69,65,4,0,1,14,3,11,0,0,0,0,39,16,14,6,52,2,3,0,38,0,2,0,9,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,0.5,42,42,0,0,0,6,2,0,0,0,0,0,36,3,3,36,4,0,0,0,38,0,1,1,0,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,5.2,213,199,14,3,1,35,10,6,9,0,6,0,150,29,34,178,22,6,2,0,165,0,4,8,10,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,12.2,482,472,10,8,0,91,19,4,0,0,0,0,285,65,132,45,357,50,1,1,361,1,18,6,11,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13.0,618,580,38,36,1,65,31,1,0,0,0,0,430,56,132,45,504,42,2,1,503,3,15,8,7,Matches
Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,4.0,136,132,4,4,0,26,4,1,0,0,0,0,78,28,30,17,94,17,0,0,110,0,4,5,2,Matches
Aritz Arambarri,es ESP,DF,Real Sociedad,23-013,1998,0.3,20,15,5,1,0,2,0,0,0,0,0,0,11,7,2,4,11,1,4,0,15,0,0,0,1,Matches
Mauro Arambarri,uy URU,MF,Getafe,25-136,1995,19.8,688,616,72,30,1,97,67,33,41,16,9,6,360,92,236,50,552,60,0,2,476,3,27,5,20,Matches
