player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Sabit Abdulai,gh GHA,MF,Getafe,21-278,1999,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Eris Abedini,xk KVX,MF,Granada,22-168,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Abdelkabir Abqar,ma MAR,DF,Alavés,21-340,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,17,"1,322",78,69.9,14.7,16,78,13,1,73,1,1.94,20,14,+6,+0.41,-1.02,20.7,14.7,+6.0,+0.41,-0.17,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,3,36,12,1.8,0.4,0,,0,3,12,6,2.33,0,0,0,0.00,+0.69,0.6,1.2,-0.6,-1.49,-1.10,Matches
Carlo Adriano,es ESP,MF,Villarreal,20-001,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,13,683,53,34.5,7.6,6,85,4,7,25,9,1.00,7,15,-8,-1.05,-0.92,5.9,11.9,-6.0,-0.79,-0.91,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,15,731,49,35.3,8.1,8,78,6,7,15,6,1.60,12,9,+3,+0.37,+0.91,12.3,8.9,+3.4,+0.41,+0.26,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,7,441,63,22.3,4.9,5,72,3,2,40,10,1.57,4,4,0,0.00,+0.88,3.4,4.5,-1.1,-0.22,+0.25,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,8,373,47,18.8,4.1,4,75,1,4,18,10,1.38,6,3,+3,+0.72,+1.34,6.2,4.2,+2.0,+0.49,+0.87,Matches
Amankwaa Akurugu,gh GHA,DF,Getafe,19-085,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,1,73,73,3.9,0.8,1,73,0,0,,11,1.00,2,1,+1,+1.23,+1.88,0.7,0.7,+0.1,+0.07,+1.09,Matches
David Alba,es ESP,MF,Getafe,21-284,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,19,"1,648",87,87.2,18.3,19,87,15,0,,0,2.21,43,17,+26,+1.42,+2.16,39.2,20.3,+18.9,+1.03,+0.19,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,22,"1,960",89,99.0,21.8,22,89,20,0,,0,1.64,31,22,+9,+0.41,+0.41,31.4,18.7,+12.7,+0.58,+0.87,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,14,913,65,46.1,10.1,11,77,1,3,21,0,1.64,16,11,+5,+0.49,+0.16,14.9,8.7,+6.1,+0.60,+0.06,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,9,633,70,32.0,7.0,5,90,5,4,46,8,1.00,8,14,-6,-0.85,-0.25,7.3,11.6,-4.3,-0.61,-0.30,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,17,"1,197",70,60.5,13.3,13,86,10,4,18,0,1.06,17,23,-6,-0.45,+0.24,14.1,20.0,-5.9,-0.44,+0.19,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,10,298,30,15.1,3.3,2,45,0,8,26,10,1.50,2,6,-4,-1.21,-0.62,3.9,4.8,-0.8,-0.26,+0.18,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,2,48,24,2.5,0.5,0,,0,2,24,14,3.00,1,0,+1,+1.87,+0.75,0.5,1.9,-1.4,-2.60,-3.70,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,6,467,78,23.6,5.2,5,86,2,1,36,0,1.17,5,10,-5,-0.96,-0.61,4.8,5.9,-1.2,-0.23,+0.16,Matches
Diego Altube,es ESP,GK,Real Madrid,20-357,2000,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches
Iñaki Álvarez Goñi,es ESP,GK,Osasuna,23-240,1997,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,19,"1,101",58,55.6,12.2,12,84,8,7,14,3,1.05,9,14,-5,-0.41,-0.20,10.5,17.0,-6.4,-0.53,-0.63,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13,"1,170",90,61.9,13.0,13,90,13,0,,1,1.15,20,18,+2,+0.15,+0.15,16.3,14.8,+1.5,+0.12,-0.05,Matches
Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,12,359,30,18.1,4.0,2,68,1,10,22,8,1.08,4,9,-5,-1.25,-0.70,3.6,9.2,-5.6,-1.40,-1.21,Matches
Lluis Andreu,es ESP,GK,Elche,21-201,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
