player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,14.7,1124,48,390,517,264,20,989,24,36,66.7,25,4,722,3021,1841,67,17,6,19,14,804,752,93.5,39,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,0.4,18,1,2,8,11,4,18,1,2,50.0,2,0,15,88,61,3,2,1,4,0,14,12,85.7,4,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,7.6,348,22,115,181,70,6,286,1,3,33.3,1,0,171,792,454,19,5,2,6,5,237,183,77.2,12,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,8.1,476,71,295,188,12,5,468,3,4,75.0,4,1,287,1701,873,20,2,1,2,3,273,272,99.6,1,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,4.9,226,31,105,95,32,0,169,1,1,100.0,1,0,61,419,182,9,2,0,1,4,65,59,90.8,4,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,4.1,213,13,55,150,23,0,212,3,4,75.0,3,2,145,801,349,10,1,0,1,4,152,144,94.7,2,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,0.8,25,1,12,11,3,1,25,1,1,100.0,1,0,19,97,35,1,0,0,0,2,13,13,100.0,1,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,18.3,1766,53,396,751,717,72,1628,7,16,43.8,9,1,1171,4765,2514,111,28,10,10,8,1404,1320,94.0,116,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,21.8,1507,230,876,726,29,8,1458,5,7,71.4,5,0,1014,6872,4359,75,8,0,5,2,1101,1093,99.3,3,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,10.1,236,5,13,115,115,47,210,4,7,57.1,4,0,135,475,189,14,5,4,14,8,338,161,47.6,67,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,7.0,272,48,164,130,2,2,260,0,0,,0,0,116,785,448,5,0,0,0,0,146,136,93.2,0,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,13.3,800,33,210,522,122,15,777,9,14,64.3,11,1,509,2605,1271,46,14,1,4,10,546,511,93.6,5,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,3.3,133,6,24,47,75,12,129,5,7,71.4,5,0,82,659,409,19,6,0,12,8,124,80,64.5,26,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,0.5,46,2,12,26,8,1,46,0,1,0.0,1,0,38,142,80,1,0,0,0,2,50,43,86.0,1,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,5.2,262,2,18,146,110,4,248,7,12,58.3,8,3,196,843,390,24,9,1,4,6,272,201,73.9,21,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,12.2,595,26,117,395,109,11,588,2,4,50.0,2,0,288,1418,483,26,6,2,10,7,323,306,94.7,12,Matches
Yeray Álvarez,es ESP,DF,Athletic Club,26-020,1995,13.0,748,70,381,394,34,14,713,3,4,75.0,4,0,409,2889,1457,28,10,1,2,0,443,437,98.6,5,Matches
Jon Ander Garrido,es ESP,MF,Cádiz,31-127,1989,4.0,172,6,40,110,26,6,168,1,1,100.0,1,0,68,353,101,8,1,0,1,4,105,88,83.8,3,Matches
