player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,14.7,0,11,1,9.1,0.75,0.07,0.00,0.00,20.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,7.6,0,2,0,0.0,0.26,0.00,0.00,,14.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,8.1,0,4,0,0.0,0.49,0.00,0.00,,18.0,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paul Akouokou,ci CIV,MF,Betis,23-055,1997,4.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jony Álamo,es ESP,MF,Elche,19-141,2001,0.8,0,1,0,0.0,1.23,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jordi Alba,es ESP,DF,Barcelona,31-329,1989,18.3,1,13,7,53.8,0.71,0.38,0.08,0.14,23.3,1,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,21.8,0,6,1,16.7,0.28,0.05,0.00,0.00,13.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,10.1,5,24,11,45.8,2.37,1.08,0.17,0.36,13.8,3,1,2,5.7,4.2,0.19,-0.7,-0.2,Matches
Pedro Alcalá,es ESP,DF,Cádiz,31-331,1989,7.0,0,1,0,0.0,0.14,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Rubén Alcaraz,es ESP,"MF,DF",Valladolid,29-288,1991,13.3,1,16,1,6.3,1.20,0.08,0.06,1.00,24.2,2,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Iván Alejo,es ESP,"MF,FW",Cádiz,26-003,1995,3.3,1,7,3,42.9,2.11,0.91,0.14,0.33,17.9,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
Carles Aleñá,es ESP,MF,Barcelona,23-039,1998,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Carles Aleñá,es ESP,"MF,FW",Getafe,23-039,1998,5.2,0,8,0,0.0,1.54,0.00,0.00,,20.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Sergio Álvarez,es ESP,MF,Eibar,29-021,1992,12.2,0,4,2,50.0,0.33,0.16,0.00,0.00,19.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
