,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,Marcos Acuña,ar ARG,DF,Sevilla,29-108,1991,17,16,1322,14.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,1.3,2.1,0.05,0.09,0.14,0.05,0.14,Matches
1,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21-365,1999,3,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.43,0.0,0.43,0.43,0.43,Matches
2,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24-279,1996,13,6,683,7.6,0,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13,0.2,0.2,0.8,1.0,0.03,0.1,0.13,0.03,0.13,Matches
3,Joseph Aidoo,gh GHA,DF,Celta Vigo,25-137,1995,15,8,731,8.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,0.06,0.07,0.13,0.06,0.13,Matches
4,Carlos Akapo,gq EQG,DF,Cádiz,27-338,1993,7,5,441,4.9,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,Paul Akouokou,ci CIV,MF,Betis,23-055,1997,8,4,373,4.1,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.09,0.09,0.0,0.09,Matches
6,Jony Álamo,es ESP,MF,Elche,19-141,2001,1,1,73,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
7,Jordi Alba,es ESP,DF,Barcelona,31-329,1989,19,19,1648,18.3,1,3,1,0,0,7,0,0.05,0.16,0.22,0.05,0.22,0.7,0.7,4.3,5.0,0.04,0.23,0.27,0.04,0.27,Matches
8,Raúl Albiol,es ESP,DF,Villarreal,35-162,1985,22,22,1960,21.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.03,0.0,0.03,0.03,0.03,Matches
9,Paco Alcácer,es ESP,FW,Villarreal,27-167,1993,14,11,913,10.1,5,3,4,1,2,0,0,0.49,0.3,0.79,0.39,0.69,5.7,4.2,2.1,6.3,0.56,0.21,0.77,0.41,0.62,Matches
