player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,0,0,2,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,50,31,36,14,0,12,30,40.0,18,242,94,38.8,163,73,6,37,13,1,24,31,81,118,0,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,100,64,40,50,10,30,99,30.3,69,517,151,29.2,176,289,52,21,4,0,17,23,123,7,0,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,2,1,2,0,0,2,7,28.6,5,88,25,28.4,5,44,39,5,0,0,5,1,3,4,0,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,1,0,1,0,0,1,2,50.0,1,5,0,0.0,4,1,0,5,0,0,5,3,4,28,0,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,53,37,24,22,7,15,46,32.6,31,370,108,29.2,116,188,66,26,3,0,23,22,75,9,1,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,38,25,28,10,0,13,22,59.1,9,143,59,41.3,87,52,4,21,14,0,7,18,56,92,1,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,59,33,28,20,11,27,44,61.4,17,290,110,37.9,111,117,62,23,2,0,21,23,82,47,1,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,23,15,12,9,2,5,32,15.6,27,201,44,21.9,65,107,29,12,2,0,10,4,27,9,0,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,32,17,13,18,1,4,21,19.0,17,198,61,30.8,67,112,19,14,4,0,10,29,61,20,1,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,1,0,1,0,0,0,0,,0,10,1,10.0,6,4,0,0,0,0,0,2,3,1,0,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,3,2,1,2,0,2,4,50.0,2,33,11,33.3,19,10,4,4,1,0,3,1,4,0,0,Matches
