player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,7,0.30,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0,0,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,23,1.22,15,1,0,1,2,4,4,0.21,2,0,0,0,1,1,0,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,4,0.86,1,1,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,54,3.81,40,6,3,0,3,2,7,0.49,6,1,0,0,0,0,0,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,10,0.48,9,0,0,1,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,58,3.19,47,5,1,1,4,0,6,0.33,4,0,1,0,1,0,0,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,8,0.93,3,2,0,0,2,1,0,0.00,0,0,0,0,0,0,0,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,14,1.06,11,0,0,2,0,1,3,0.23,1,0,0,1,0,1,0,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0,0,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,26-354,1994,20.7,44,2.13,34,0,1,6,3,0,7,0.34,4,0,1,0,2,0,0,Matches
Marley Aké,fr FRA,FW,Marseille,20-039,2001,1.6,1,0.62,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,22-199,1998,8.1,10,1.23,7,1,0,0,2,0,3,0.37,2,0,0,0,1,0,0,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Angers,17-025,2004,2.0,3,1.47,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Rachid Alioui,ma MAR,FW,Angers,28-240,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ibrahim Amadou,fr FRA,MF,Angers,27-313,1993,9.7,15,1.54,11,0,0,2,0,2,2,0.21,1,0,0,1,0,0,0,Matches
Romain Amalfitano,fr FRA,"FW,DF",Dijon,31-170,1989,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Jordan Amavi,fr FRA,DF,Marseille,26-341,1994,8.2,15,1.83,7,1,1,1,5,0,5,0.61,2,0,0,1,2,0,0,Matches
Thierry Ambrose,fr FRA,FW,Metz,23-322,1997,5.4,18,3.31,12,1,3,1,1,0,1,0.18,1,0,0,0,0,0,0,Matches
