player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,2,0,0,23,16,0,0,31,31,0,0,0,217,62,38,62.0,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,3,0,0,24,27,0,9,23,64,1,0,0,187,5,10,33.3,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,0,0,0,7,5,4,1,1,1,0,0,0,14,20,29,40.8,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,1,0,0,3,2,0,0,3,0,0,0,0,15,14,2,87.5,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,3,0,0,17,22,0,17,22,37,0,0,0,116,15,13,53.6,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,1,0,0,10,22,2,0,18,25,0,0,0,230,83,32,72.2,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,6,0,0,32,28,1,81,23,33,1,0,0,202,39,29,57.4,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,0,0,0,13,13,1,4,4,15,0,1,0,58,4,9,30.8,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,6,0,0,29,16,0,4,29,17,0,0,0,131,21,15,58.3,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,0,0,0,0,1,0,0,2,0,0,0,0,3,1,1,50.0,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,0,0,0,2,3,0,4,1,2,0,0,0,12,2,4,33.3,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,26-354,1994,20.7,4,0,0,19,30,10,21,5,10,1,0,0,74,87,64,57.6,Matches
Marley Aké,fr FRA,FW,Marseille,20-039,2001,1.6,0,0,0,6,5,0,1,1,0,0,0,0,7,4,6,40.0,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,22-199,1998,8.1,2,0,0,11,14,1,7,19,17,1,1,0,72,3,5,37.5,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Angers,17-025,2004,2.0,1,0,0,4,4,0,4,3,8,0,0,0,12,3,5,37.5,Matches
Rachid Alioui,ma MAR,FW,Angers,28-240,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0,Matches
Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4.0,2,0,0,2,1,0,0,0,0,0,1,0,21,0,0,,Matches
Ibrahim Amadou,fr FRA,MF,Angers,27-313,1993,9.7,4,0,0,21,4,0,3,13,20,0,0,0,78,17,10,63.0,Matches
Romain Amalfitano,fr FRA,"FW,DF",Dijon,31-170,1989,1.3,0,0,0,2,1,0,4,1,1,0,0,0,9,1,1,50.0,Matches
Jordan Amavi,fr FRA,DF,Marseille,26-341,1994,8.2,3,1,0,9,13,1,8,12,11,1,0,0,82,21,11,65.6,Matches
Thierry Ambrose,fr FRA,FW,Metz,23-322,1997,5.4,1,0,0,11,5,1,10,3,3,0,0,0,30,17,17,50.0,Matches
Joachim Andersen,dk DEN,DF,Lyon,24-258,1996,2.1,1,0,0,5,2,0,0,0,1,0,0,0,23,6,0,100.0,Matches
Benjamin André,fr FRA,MF,Lille,30-194,1990,20.4,5,0,0,40,34,0,2,35,59,0,0,0,268,59,36,62.1,Matches
Victorien Angban,ci CIV,MF,Metz,24-137,1996,16.4,4,0,0,25,24,0,6,9,26,0,0,0,169,9,18,33.3,Matches
