player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,2,2,100.0,57,15,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,1070,1219,87.8,24209,8168,229,256,89.5,631,678,93.1,202,272,74.3,0,0.2,-0.2,2,52,1,0,65,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,614,723,84.9,12127,2955,247,263,93.9,249,283,88.0,102,153,66.7,0,0.8,-0.8,12,60,7,4,43,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,736,887,83.0,13967,3743,302,346,87.3,325,351,92.6,97,158,61.4,1,0.8,+0.2,7,59,5,2,47,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,51,85,60.0,735,139,28,44,63.6,15,20,75.0,3,6,50.0,0,0.1,-0.1,2,3,3,0,6,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,80,95,84.2,1969,716,16,16,100.0,41,45,91.1,22,33,66.7,0,0.0,0.0,0,4,0,0,1,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,730,868,84.1,14328,3541,281,314,89.5,310,356,87.1,121,164,73.8,4,2.9,+1.1,32,74,10,2,73,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,1510,1668,90.5,30977,11377,524,553,94.8,706,747,94.5,258,342,75.4,1,0.9,+0.1,4,87,0,0,89,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,1044,1255,83.2,18126,5782,495,534,92.7,427,507,84.2,101,176,57.4,2,3.4,-1.4,35,67,28,16,74,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,219,282,77.7,4216,726,86,99,86.9,100,124,80.6,30,43,69.8,0,0.1,-0.1,3,13,2,0,11,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,401,478,83.9,7038,1579,179,204,87.7,163,188,86.7,46,64,71.9,1,0.5,+0.5,4,40,3,0,27,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,8,10,80.0,157,33,1,1,100.0,7,8,87.5,0,1,0.0,0,0.0,0.0,0,1,0,0,2,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,136,149,91.3,1873,750,90,92,97.8,36,43,83.7,4,6,66.7,1,0.4,+0.6,4,1,4,3,12,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,26-354,1994,20.7,404,560,72.1,6965,1418,204,266,76.7,134,184,72.8,45,66,68.2,4,3.0,+1.0,24,34,14,6,41,Matches
Marley Aké,fr FRA,FW,Marseille,20-039,2001,1.6,28,35,80.0,414,125,17,19,89.5,7,9,77.8,3,5,60.0,0,0.0,0.0,0,2,0,0,3,Matches
