player,nationality,position,squad,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_completed,passes_offsides,passes_oob,passes_intercepted,passes_blocked,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,1219,1181,38,38,0,113,30,0,0,0,0,0,966,88,165,793,344,44,0,3,1070,3,23,13,6,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,723,676,47,30,1,83,33,21,14,7,4,3,543,69,111,100,587,19,3,4,614,5,15,10,7,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,887,858,29,23,1,158,25,9,1,1,0,0,640,114,133,77,771,27,5,3,736,2,18,25,16,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,85,77,8,0,0,29,1,1,0,0,0,0,50,17,18,51,12,8,0,2,51,0,3,0,7,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,95,91,4,3,0,12,6,0,0,0,0,0,67,8,20,27,63,2,1,0,80,0,3,0,0,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,868,831,37,21,3,118,33,17,14,5,4,2,690,84,94,79,760,16,2,2,730,5,11,16,16,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,1668,1618,50,49,1,99,47,0,0,0,0,0,1384,107,177,1393,170,56,1,5,1510,0,15,9,5,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,1255,1061,194,28,2,80,40,81,11,3,7,0,774,207,274,20,1007,46,155,5,1044,5,9,13,18,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,282,276,6,6,0,22,8,4,0,0,0,0,229,21,32,218,47,12,0,2,219,1,13,8,11,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,478,472,6,4,0,58,6,4,1,1,0,0,359,62,57,354,88,21,1,1,401,2,6,9,11,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,10,10,0,0,0,1,0,0,0,0,0,0,9,0,1,7,3,0,0,0,8,0,1,0,0,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,149,129,20,0,0,11,2,4,0,0,0,0,116,15,18,117,8,2,20,0,136,0,0,1,1,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,26-354,1994,20.7,560,514,46,0,1,167,30,21,0,0,0,0,276,165,119,295,115,56,5,14,404,1,14,9,22,Matches
Marley Aké,fr FRA,FW,Marseille,20-039,2001,1.6,35,33,2,0,0,11,0,1,0,0,0,0,21,6,8,3,24,3,0,1,28,1,2,2,1,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,22-199,1998,8.1,432,353,79,6,0,32,8,7,0,0,0,0,274,93,65,30,319,9,72,0,359,1,8,13,11,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Angers,17-025,2004,2.0,62,61,1,0,0,11,0,4,0,0,0,0,48,6,8,43,10,2,0,4,41,0,0,4,3,Matches
Rachid Alioui,ma MAR,FW,Angers,28-240,1992,0.2,6,6,0,0,0,2,0,0,0,0,0,0,3,2,1,0,4,2,0,0,5,0,0,0,0,Matches
Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4.0,130,95,35,7,0,7,3,0,0,0,0,0,71,3,56,8,100,0,1,20,96,1,4,0,0,Matches
Ibrahim Amadou,fr FRA,MF,Angers,27-313,1993,9.7,390,381,9,9,1,64,8,3,0,0,0,0,314,27,49,30,332,15,0,0,329,0,5,9,6,Matches
Romain Amalfitano,fr FRA,"FW,DF",Dijon,31-170,1989,1.3,58,52,6,1,0,11,1,4,0,0,0,0,42,8,8,4,48,0,5,0,47,1,2,0,1,Matches
Jordan Amavi,fr FRA,DF,Marseille,26-341,1994,8.2,401,332,69,7,0,59,13,8,0,0,0,0,205,110,86,218,82,22,62,2,322,1,9,2,14,Matches
Thierry Ambrose,fr FRA,FW,Metz,23-322,1997,5.4,178,167,11,2,1,47,9,10,3,2,1,0,100,27,51,28,116,16,1,1,117,1,3,5,10,Matches
Joachim Andersen,dk DEN,DF,Lyon,24-258,1996,2.1,117,111,6,4,0,11,4,0,0,0,0,0,89,11,17,9,96,5,2,0,105,0,0,1,1,Matches
Benjamin André,fr FRA,MF,Lille,30-194,1990,20.4,1246,1227,19,18,2,178,23,2,0,0,0,0,891,178,177,162,962,76,1,4,1058,4,19,20,32,Matches
Victorien Angban,ci CIV,MF,Metz,24-137,1996,16.4,768,750,18,14,0,117,21,6,0,0,0,0,599,83,86,88,649,19,4,0,676,1,12,15,14,Matches
Houssem Aouar,fr FRA,MF,Lyon,22-228,1998,14.0,743,715,28,9,3,83,13,16,10,3,1,0,630,69,44,77,648,11,4,0,623,2,12,25,22,Matches
Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,18-213,2002,12.4,525,437,88,32,4,81,39,28,51,18,22,6,329,59,137,73,428,9,4,6,364,1,9,23,12,Matches
Dennis Appiah,fr FRA,DF,Nantes,28-249,1992,9.8,519,416,103,8,0,50,7,23,0,0,0,0,284,118,117,59,321,32,95,2,377,1,12,14,19,Matches
Luiz Araújo,br BRA,MF,Lille,24-256,1996,10.7,389,377,12,2,3,56,16,14,3,2,1,0,268,52,69,316,45,19,6,0,309,2,7,6,14,Matches
Karim Aribi,dz ALG,FW,Nîmes,26-234,1994,2.7,54,45,9,0,0,18,0,0,0,0,0,0,33,9,12,8,34,6,0,0,35,0,1,1,2,Matches
Roger Assalé,ci CIV,"FW,MF",Dijon,27-092,1993,4.9,118,115,3,2,0,19,2,4,0,0,0,0,91,12,15,16,87,9,1,1,78,1,2,7,5,Matches
