player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Rocco Ascone,fr FRA,FW,Lille,17-154,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,2,11,6,0.5,0.1,0,,0,2,6,13,2.00,0,0,0,0.00,+0.29,0.0,0.3,-0.3,-2.34,-2.50,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23,"2,070",90,95.8,23.0,23,90,23,0,,0,1.22,30,31,-1,-0.04,+0.96,23.2,34.7,-11.5,-0.50,+1.13,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,18,"1,320",73,61.1,14.7,15,83,10,3,23,1,0.94,14,23,-9,-0.61,+0.24,16.9,23.5,-6.7,-0.45,-0.17,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,23,"1,698",74,82.0,18.9,18,82,10,5,43,0,0.96,21,32,-11,-0.58,+0.38,22.5,25.2,-2.7,-0.14,+0.28,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,11,418,38,19.4,4.6,5,60,0,6,19,2,1.09,7,11,-4,-0.86,-0.40,6.2,8.3,-2.1,-0.45,-0.51,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2,180,90,8.3,2.0,2,90,2,0,,0,2.00,2,1,+1,+0.50,+1.14,2.4,1.9,+0.6,+0.28,+0.34,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,22,"1,277",58,59.1,14.2,12,80,5,10,32,0,1.27,16,22,-6,-0.42,-0.83,14.5,21.9,-7.4,-0.52,-0.18,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21,"1,890",90,91.3,21.0,21,90,21,0,,0,1.76,30,21,+9,+0.43,+1.43,27.8,21.1,+6.6,+0.32,-0.31,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,22,"1,634",74,75.6,18.2,19,84,15,3,11,0,1.91,31,28,+3,+0.17,-1.89,28.4,18.7,+9.7,+0.53,-1.02,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,13,777,60,37.5,8.6,9,77,5,4,21,7,0.38,4,18,-14,-1.62,-0.44,7.7,18.5,-10.8,-1.26,-0.27,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,15,"1,184",79,54.8,13.2,14,83,7,1,17,0,1.27,21,20,+1,+0.08,+0.81,22.3,19.5,+2.8,+0.21,+0.15,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,2,36,18,1.7,0.4,0,,0,2,18,1,2.00,0,0,0,0.00,-0.64,0.2,0.4,-0.3,-0.70,-1.51,Matches
