player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,4,2,4,1,0,0,4,0,0,,0,0,2,10,4,0,0,0,0,0,3,1,33.3,0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,1470,194,819,722,26,14,1434,5,9,55.6,5,1,933,5016,2714,42,3,0,5,12,988,962,97.4,5,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,869,26,222,550,174,13,825,23,32,71.9,23,0,595,3510,1695,60,22,2,6,18,628,565,90.0,14,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,1094,24,332,664,164,9,1070,8,15,53.3,8,0,747,3139,1632,57,13,1,19,24,775,712,91.9,18,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,137,4,14,69,58,18,129,7,11,63.6,7,0,72,257,107,6,3,2,15,7,214,99,46.3,24,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,135,19,94,44,3,3,131,0,0,,0,0,71,382,222,2,0,0,0,0,76,76,100.0,0,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,1044,25,235,667,209,12,1010,36,49,73.5,37,2,744,3687,2081,91,24,5,17,27,829,763,92.0,22,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,1873,172,818,1118,46,26,1825,4,7,57.1,5,0,1282,6008,3399,80,9,0,2,8,1420,1404,98.9,4,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,1472,41,334,728,496,36,1287,20,34,58.8,22,2,892,4585,2817,135,39,3,18,21,1056,914,86.6,83,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,393,13,97,255,82,12,387,15,19,78.9,16,0,292,1757,1034,33,9,2,18,16,313,268,85.6,19,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,628,26,139,406,117,17,624,10,14,71.4,12,1,395,1682,845,33,13,0,13,16,446,391,87.7,16,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,17,1,9,6,3,2,17,0,0,,0,0,6,27,12,1,0,0,1,0,12,10,83.3,2,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,173,2,39,101,48,5,153,8,10,80.0,9,0,133,537,367,19,6,1,4,4,137,128,93.4,7,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,26-354,1994,20.7,759,28,76,406,314,105,711,10,17,58.8,10,0,396,1804,929,52,14,15,47,21,943,564,59.8,156,Matches
Marley Aké,fr FRA,FW,Marseille,20-039,2001,1.6,65,1,10,27,29,8,63,4,7,57.1,5,0,41,205,119,6,0,2,3,8,99,47,47.5,16,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,22-199,1998,8.1,538,24,193,258,111,7,459,10,18,55.6,11,0,318,1391,855,28,6,2,4,8,318,295,92.8,14,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Angers,17-025,2004,2.0,112,1,13,50,60,10,111,3,8,37.5,3,0,82,383,287,17,8,1,13,9,120,77,64.2,20,Matches
Rachid Alioui,ma MAR,FW,Angers,28-240,1992,0.2,12,0,2,6,4,1,12,1,1,100.0,1,0,7,4,2,0,0,0,3,2,9,8,88.9,3,Matches
Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4.0,141,123,141,0,0,0,106,2,2,100.0,2,0,75,254,99,0,0,0,0,0,69,69,100.0,0,Matches
Ibrahim Amadou,fr FRA,MF,Angers,27-313,1993,9.7,482,19,127,309,64,11,473,5,6,83.3,5,0,305,1084,564,17,4,4,4,12,347,315,90.8,3,Matches
Romain Amalfitano,fr FRA,"FW,DF",Dijon,31-170,1989,1.3,69,4,20,33,24,0,63,1,1,100.0,1,0,44,313,188,13,3,0,0,3,53,47,88.7,1,Matches
Jordan Amavi,fr FRA,DF,Marseille,26-341,1994,8.2,524,35,192,261,107,9,461,11,19,57.9,12,0,269,1207,674,29,12,3,6,12,300,276,92.0,22,Matches
Thierry Ambrose,fr FRA,FW,Metz,23-322,1997,5.4,257,3,13,144,121,25,246,13,20,65.0,13,0,193,1071,574,25,13,4,13,31,310,197,63.5,53,Matches
Joachim Andersen,dk DEN,DF,Lyon,24-258,1996,2.1,138,15,68,64,14,2,132,0,0,,0,0,82,455,251,9,2,0,0,4,98,96,98.0,2,Matches
Benjamin André,fr FRA,MF,Lille,30-194,1990,20.4,1493,44,305,1011,251,23,1476,21,32,65.6,22,0,880,3949,1824,86,21,1,16,36,1072,976,91.0,58,Matches
Victorien Angban,ci CIV,MF,Metz,24-137,1996,16.4,912,21,224,561,194,9,896,22,29,75.9,22,0,693,3310,1538,55,16,0,18,31,681,643,94.4,27,Matches
Houssem Aouar,fr FRA,MF,Lyon,22-228,1998,14.0,926,6,81,494,428,93,898,34,53,64.2,37,0,725,3726,2407,119,32,17,29,38,895,766,85.6,109,Matches
Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,18-213,2002,12.4,674,7,80,367,283,32,590,26,43,60.5,29,4,460,2787,1569,76,19,10,24,31,565,473,83.7,67,Matches
Dennis Appiah,fr FRA,DF,Nantes,28-249,1992,9.8,629,33,227,292,146,9,527,6,9,66.7,7,0,308,1553,880,44,14,2,7,10,354,319,90.1,19,Matches
Luiz Araújo,br BRA,MF,Lille,24-256,1996,10.7,552,7,68,273,275,35,540,31,52,59.6,33,2,418,2699,1592,82,22,10,17,22,469,389,82.9,59,Matches
Karim Aribi,dz ALG,FW,Nîmes,26-234,1994,2.7,90,2,14,41,44,14,81,3,6,50.0,3,0,44,185,86,3,2,1,10,6,155,61,39.4,17,Matches
Roger Assalé,ci CIV,"FW,MF",Dijon,27-092,1993,4.9,178,1,27,90,80,12,177,13,18,72.2,13,0,141,919,556,27,11,4,14,14,217,135,62.2,32,Matches
Youcef Attal,dz ALG,DF,Nice,24-272,1996,5.4,432,17,139,198,133,10,370,11,18,61.1,11,1,267,1430,899,39,8,4,13,11,303,266,87.8,13,Matches
Jean-Kévin Augustin,fr FRA,FW,Nantes,23-242,1997,0.4,8,0,1,7,2,0,6,0,0,,0,0,3,11,0,0,1,0,1,0,14,5,35.7,1,Matches
Ludovic Baal,gf GUF,DF,Brest,34-265,1986,3.2,274,19,105,155,27,0,254,6,7,85.7,6,1,186,920,522,14,1,0,3,3,194,185,95.4,2,Matches
Loïc Bade,fr FRA,DF,Lens,20-308,2000,17.0,1325,180,763,650,29,8,1310,11,11,100.0,11,0,840,6094,3580,53,9,1,6,7,867,853,98.4,5,Matches
Stéphane Bahoken,cm CMR,FW,Angers,28-261,1992,11.2,410,7,17,219,199,56,382,11,20,55.0,13,1,276,1202,598,35,12,10,39,25,590,301,51.0,98,Matches
Mitchel Bakker,nl NED,DF,Paris S-G,20-238,2000,15.1,1191,47,269,563,422,21,1094,12,20,60.0,12,2,803,2863,1352,66,28,2,12,13,902,845,93.7,49,Matches
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18-171,2002,0.6,58,0,4,41,13,1,58,1,3,33.3,1,0,47,248,85,6,0,1,3,1,58,49,84.5,3,Matches
