player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23.0,2,9,4,44.4,0.39,0.17,0.22,0.50,8.9,0,0,0,1.3,1.3,0.14,+0.7,+0.7,Matches
Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,14.7,0,20,0,0.0,1.36,0.00,0.00,,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,18.9,2,15,6,40.0,0.80,0.32,0.13,0.33,28.6,0,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches
Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,4.6,2,8,3,37.5,1.72,0.65,0.25,0.67,12.0,0,0,0,1.1,1.1,0.13,+0.9,+0.9,Matches
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2.0,0,3,2,66.7,1.50,1.00,0.00,0.00,12.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,14.2,1,10,3,30.0,0.70,0.21,0.10,0.33,21.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21.0,3,21,5,23.8,1.00,0.24,0.14,0.60,9.4,0,0,0,2.1,2.1,0.10,+0.9,+0.9,Matches
Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,18.2,1,5,2,40.0,0.28,0.11,0.20,0.50,9.5,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,8.6,2,8,5,62.5,0.93,0.58,0.25,0.40,22.3,0,0,0,1.4,1.4,0.18,+0.6,+0.6,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,13.2,2,19,5,26.3,1.44,0.38,0.11,0.40,20.1,0,0,0,1.5,1.2,0.06,+0.5,+0.8,Matches
Jean-Eudes Aholou,ci CIV,MF,Monaco,26-330,1994,0.4,0,2,1,50.0,5.00,2.50,0.00,0.00,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Rayan Aït Nouri,fr FRA,DF,Angers,19-252,2001,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Ludovic Ajorque,re REU,FW,Strasbourg,26-354,1994,20.7,10,44,19,43.2,2.13,0.92,0.16,0.37,14.8,0,3,4,11.8,8.7,0.20,-1.8,-1.7,Matches
Marley Aké,fr FRA,FW,Marseille,20-039,2001,1.6,0,4,0,0.0,2.47,0.00,0.00,,11.1,0,0,0,1.1,1.1,0.27,-1.1,-1.1,Matches
Sofiane Alakouch,fr FRA,DF,Nîmes,22-199,1998,8.1,0,1,0,0.0,0.12,0.00,0.00,,16.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Mohamed Ali Cho,fr FRA,"FW,MF",Angers,17-025,2004,2.0,0,2,0,0.0,0.98,0.00,0.00,,12.0,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
Rachid Alioui,ma MAR,FW,Angers,28-240,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ibrahim Amadou,fr FRA,MF,Angers,27-313,1993,9.7,0,8,3,37.5,0.82,0.31,0.00,0.00,15.7,0,0,0,1.3,1.3,0.17,-1.3,-1.3,Matches
Romain Amalfitano,fr FRA,"FW,DF",Dijon,31-170,1989,1.3,0,2,0,0.0,1.55,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jordan Amavi,fr FRA,DF,Marseille,26-341,1994,8.2,1,4,1,25.0,0.49,0.12,0.25,1.00,10.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
Thierry Ambrose,fr FRA,FW,Metz,23-322,1997,5.4,0,12,4,33.3,2.20,0.73,0.00,0.00,20.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Joachim Andersen,dk DEN,DF,Lyon,24-258,1996,2.1,0,5,0,0.0,2.34,0.00,0.00,,20.0,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Benjamin André,fr FRA,MF,Lille,30-194,1990,20.4,0,12,4,33.3,0.59,0.20,0.00,0.00,14.3,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Victorien Angban,ci CIV,MF,Metz,24-137,1996,16.4,0,4,1,25.0,0.24,0.06,0.00,0.00,15.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Houssem Aouar,fr FRA,MF,Lyon,22-228,1998,14.0,3,46,13,28.3,3.28,0.93,0.02,0.08,15.9,0,2,2,7.1,5.5,0.12,-4.1,-4.5,Matches
Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,18-213,2002,12.4,2,17,8,47.1,1.37,0.64,0.12,0.25,19.3,1,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
Dennis Appiah,fr FRA,DF,Nantes,28-249,1992,9.8,0,3,0,0.0,0.31,0.00,0.00,,18.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Luiz Araújo,br BRA,MF,Lille,24-256,1996,10.7,3,37,7,18.9,3.47,0.66,0.08,0.43,23.0,1,0,0,2.7,2.7,0.07,+0.3,+0.3,Matches
