,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,0,Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,21-260,1999,2,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
1,1,Yunis Abdelhamid,ma MAR,DF,Reims,33-138,1987,23,23,2070,23.0,2,0,2,0,0,2,0,0.09,0.0,0.09,0.09,0.09,1.3,1.3,0.2,1.4,0.05,0.01,0.06,0.05,0.06,Matches
2,2,Mehdi Abeid,dz ALG,MF,Nantes,28-191,1992,18,15,1320,14.7,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.7,0.07,0.05,0.12,0.07,0.12,Matches
3,3,Laurent Abergel,fr FRA,MF,Lorient,28-012,1993,23,18,1698,18.9,2,1,2,0,0,3,0,0.11,0.05,0.16,0.11,0.16,0.4,0.4,0.8,1.2,0.02,0.04,0.06,0.02,0.06,Matches
4,4,Charles Abi,fr FRA,FW,Saint-Étienne,20-307,2000,11,5,418,4.6,2,0,2,0,0,0,0,0.43,0.0,0.43,0.43,0.43,1.1,1.1,0.1,1.1,0.23,0.01,0.24,0.23,0.24,Matches
5,5,Pape Abou Cisse,sn SEN,DF,Saint-Étienne,25-152,1995,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.11,0.0,0.11,0.11,0.11,Matches
6,6,Yacine Adli,fr FRA,MF,Bordeaux,20-199,2000,22,12,1277,14.2,1,4,1,0,0,3,0,0.07,0.28,0.35,0.07,0.35,0.5,0.5,2.9,3.4,0.03,0.21,0.24,0.03,0.24,Matches
7,7,Nayef Aguerd,ma MAR,DF,Rennes,24-320,1996,21,21,1890,21.0,3,1,3,0,0,1,0,0.14,0.05,0.19,0.14,0.19,2.1,2.1,0.9,3.0,0.1,0.04,0.15,0.1,0.15,Matches
8,8,Ruben Aguilar,fr FRA,DF,Monaco,27-293,1993,22,19,1634,18.2,1,2,1,0,0,6,0,0.06,0.11,0.17,0.06,0.17,0.4,0.4,3.4,3.8,0.02,0.18,0.21,0.02,0.21,Matches
9,9,Matteo Ahlinvi,bj BEN,MF,Nîmes,21-226,1999,13,9,777,8.6,2,0,2,0,0,0,0,0.23,0.0,0.23,0.23,0.23,1.4,1.4,0.1,1.5,0.16,0.01,0.18,0.16,0.18,Matches
10,10,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26-330,1994,15,14,1184,13.2,2,1,2,0,0,6,0,0.15,0.08,0.23,0.15,0.23,1.5,1.2,0.5,1.7,0.12,0.04,0.16,0.09,0.13,Matches
