player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-173,1990,12.7,20,12,14,5,1,9,20,45.0,11,109,35,32.1,69,26,14,17,2,0,15,23,43,23,1,Matches
Tammy Abraham,eng ENG,FW,Chelsea,23-139,1997,10.8,6,3,2,3,1,0,4,0.0,4,140,32,22.9,11,60,69,9,2,0,7,2,8,15,0,Matches
Che Adams,eng ENG,FW,Southampton,24-220,1996,19.3,22,11,4,11,7,3,15,20.0,12,248,86,34.7,32,88,128,15,2,0,13,5,27,12,0,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,23-147,1997,20.0,26,17,21,5,0,11,21,52.4,10,112,33,29.5,77,32,3,25,14,0,11,31,57,143,1,Matches
Adrián,es ESP,GK,Liverpool,34-046,1987,2.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,Matches
Sergio Agüero,ar ARG,FW,Manchester City,32-261,1988,1.6,0,0,0,0,0,0,1,0.0,1,19,4,21.1,4,3,12,3,0,0,3,0,0,1,0,Matches
Ola Aina,ng NGA,DF,Fulham,24-133,1996,19.7,34,17,19,11,4,9,24,37.5,15,154,39,25.3,77,61,16,31,5,0,26,30,64,85,0,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,19-257,2001,7.7,15,8,6,8,1,8,14,57.1,6,102,29,28.4,49,39,14,12,0,0,12,7,22,19,0,Matches
Semi Ajayi,ng NGA,DF,West Brom,27-101,1993,23.0,47,32,36,9,2,13,26,50.0,13,262,106,40.5,174,75,13,43,24,2,19,24,71,108,1,Matches
Nathan Aké,nl NED,DF,Manchester City,26-000,1995,5.2,5,2,3,1,1,2,2,100.0,0,29,11,37.9,9,14,6,4,1,0,3,3,8,14,0,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-092,1989,12.4,26,20,10,9,7,12,31,38.7,19,208,85,40.9,67,82,59,22,2,1,20,17,43,17,0,Matches
Thiago Alcántara,es ESP,MF,Liverpool,29-313,1991,9.1,24,16,10,10,4,9,22,40.9,13,165,56,33.9,36,98,31,11,0,0,11,14,38,8,0,Matches
Toby Alderweireld,be BEL,DF,Tottenham,31-353,1989,13.9,25,11,15,10,0,10,16,62.5,6,118,37,31.4,72,44,2,31,19,1,12,1,26,91,0,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-000,1995,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-134,1998,20.5,40,24,19,15,6,26,44,59.1,18,192,67,34.9,63,73,56,23,2,0,21,14,54,35,1,Matches
Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,29-006,1992,15.6,46,23,16,24,6,13,38,34.2,25,297,88,29.6,127,127,43,26,5,0,21,15,61,33,0,Matches
Alisson,br BRA,GK,Liverpool,28-139,1992,20.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,1,4,Matches
Allan,br BRA,MF,Everton,30-041,1991,11.4,36,24,16,18,2,12,44,27.3,32,309,89,28.8,136,154,19,23,6,0,17,7,43,13,0,Matches
Dele Alli,eng ENG,MF,Tottenham,24-313,1996,1.2,2,1,2,0,0,1,1,100.0,0,47,9,19.1,6,22,19,0,0,0,0,1,3,1,0,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27-008,1994,16.2,36,21,18,15,3,11,36,30.6,25,299,73,24.4,105,122,72,23,1,0,22,18,54,17,1,Matches
Marcos Alonso,es ESP,DF,Chelsea,30-052,1990,5.8,5,2,2,3,0,0,7,0.0,7,82,24,29.3,46,24,12,16,1,0,15,2,7,27,0,Matches
Steven Alzate,co COL,"MF,DF",Brighton,22-163,1998,7.5,15,12,10,3,2,2,6,33.3,4,114,42,36.8,36,53,25,14,1,0,13,5,20,9,1,Matches
Daniel Amartey,gh GHA,DF,Leicester City,26-059,1994,4.1,4,3,2,1,1,2,7,28.6,5,41,15,36.6,24,14,3,7,3,1,4,6,10,22,0,Matches
Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,20-157,2000,15.8,43,25,19,19,5,14,36,38.9,22,243,67,27.6,114,93,36,31,12,0,19,23,66,66,0,Matches
Joachim Andersen,dk DEN,DF,Fulham,24-263,1996,17.7,24,15,15,7,2,10,19,52.6,9,102,41,40.2,72,26,4,23,12,0,11,23,47,130,0,Matches
Elliot Anderson,sco SCO,MF,Newcastle Utd,18-104,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
Felipe Anderson,br BRA,"FW,MF",West Ham,27-309,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
Michail Antonio,eng ENG,FW,West Ham,30-327,1990,11.9,7,4,1,4,2,1,5,20.0,4,141,43,30.5,7,56,78,15,7,0,8,5,12,5,0,Matches
Alphonse Areola,fr FRA,GK,Fulham,27-357,1993,23.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,0,0,0,1,Matches
Stuart Armstrong,sco SCO,MF,Southampton,28-325,1992,17.2,42,28,16,19,7,13,45,28.9,32,285,84,29.5,91,128,66,22,1,0,21,17,59,10,0,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-138,1994,4.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,3,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-245,1989,18.5,11,3,3,7,1,3,16,18.8,13,223,57,25.6,37,88,98,19,1,0,18,3,14,12,0,Matches
Serge Aurier,ci CIV,DF,Tottenham,28-056,1992,11.9,50,25,34,14,2,15,35,42.9,20,259,72,27.8,148,84,27,23,5,0,18,17,67,36,2,Matches
Charlie Austin,eng ENG,FW,West Brom,31-228,1989,1.5,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-160,1991,13.6,23,19,4,13,6,4,17,23.5,13,342,96,28.1,49,177,116,12,1,0,11,13,36,6,0,Matches
