player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-173,1990,12.7,22,1.73,19,2,1,0,0,0,2,0.16,2,0,0,0,0,0,0,Matches
Tammy Abraham,eng ENG,FW,Chelsea,23-139,1997,10.8,18,1.66,11,0,1,3,3,0,2,0.18,1,0,0,0,1,0,0,Matches
Che Adams,eng ENG,FW,Southampton,24-220,1996,19.3,40,2.07,29,0,1,4,6,0,6,0.31,5,0,0,0,1,0,0,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,23-147,1997,20.0,9,0.45,9,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Adrián,es ESP,GK,Liverpool,34-046,1987,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sergio Agüero,ar ARG,FW,Manchester City,32-261,1988,1.6,4,2.52,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Ola Aina,ng NGA,DF,Fulham,24-133,1996,19.7,17,0.86,15,1,0,0,1,0,4,0.20,4,0,0,0,0,0,0,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,19-257,2001,7.7,12,1.56,10,0,2,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
Semi Ajayi,ng NGA,DF,West Brom,27-101,1993,23.0,8,0.35,6,0,1,1,0,0,2,0.09,1,0,0,1,0,0,0,Matches
Nathan Aké,nl NED,DF,Manchester City,26-000,1995,5.2,2,0.38,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-092,1989,12.4,41,3.31,31,0,4,1,2,3,6,0.48,5,0,0,1,0,0,0,Matches
Thiago Alcántara,es ESP,MF,Liverpool,29-313,1991,9.1,26,2.85,21,2,1,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
