player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
Adrián,es ESP,GK,Liverpool,34-046,1987,2,2,180,2.0,9,4.50,16,7,43.8,0,1,1,0,0.0,0,0,0,0,,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-000,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches
Alisson,br BRA,GK,Liverpool,28-139,1992,20,20,"1,800",20.0,22,1.10,60,40,68.3,10,6,4,5,25.0,7,3,1,3,25.0,Matches
Alphonse Areola,fr FRA,GK,Fulham,27-357,1993,23,23,"2,070",23.0,29,1.26,105,80,77.1,3,10,10,6,26.1,5,5,0,0,0.0,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-138,1994,4,4,360,4.0,6,1.50,18,12,66.7,2,1,1,1,25.0,0,0,0,0,,Matches
David Button,eng ENG,GK,West Brom,31-357,1989,1,1,90,1.0,2,2.00,7,5,71.4,1,0,0,0,0.0,0,0,0,0,,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-143,1981,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-139,1986,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-133,1990,24,24,"2,160",24.0,40,1.67,114,77,66.7,7,4,13,4,16.7,3,2,1,0,33.3,Matches
Ederson,br BRA,GK,Manchester City,27-185,1993,23,23,"2,070",23.0,14,0.61,45,36,80.0,16,5,2,14,60.9,5,5,0,0,0.0,Matches
Łukasz Fabiański,pl POL,GK,West Ham,35-306,1985,23,23,"2,070",23.0,28,1.22,86,60,69.8,11,6,6,8,34.8,5,2,2,1,50.0,Matches
Fraser Forster,eng ENG,GK,Southampton,32-338,1988,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
David de Gea,es ESP,GK,Manchester Utd,30-103,1990,22,22,"1,935",21.5,28,1.30,65,42,63.1,11,7,4,8,36.4,4,4,0,0,0.0,Matches
Vicente Guaita,es ESP,GK,Crystal Palace,34-039,1987,24,24,"2,160",24.0,42,1.75,113,72,65.5,8,5,11,4,16.7,4,3,1,0,25.0,Matches
Dean Henderson,eng ENG,GK,Manchester Utd,23-343,1997,3,2,225,2.5,3,1.20,14,11,78.6,2,0,0,0,0.0,0,0,0,0,,Matches
Sam Johnstone,eng ENG,GK,West Brom,27-330,1993,23,23,"2,070",23.0,53,2.30,143,95,65.7,1,7,15,2,8.7,5,4,1,0,20.0,Matches
Caoimhin Kelleher,ie IRL,GK,Liverpool,22-087,1998,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,,Matches
Bernd Leno,de GER,GK,Arsenal,28-351,1992,23,23,"2,051",22.8,24,1.05,78,58,70.5,10,4,9,8,34.8,2,1,1,0,50.0,Matches
Hugo Lloris,fr FRA,GK,Tottenham,34-054,1986,23,23,"2,070",23.0,25,1.09,87,70,78.2,10,6,7,7,30.4,6,6,0,0,0.0,Matches
Emiliano Martínez,ar ARG,GK,Aston Villa,28-169,1992,22,22,"1,980",22.0,24,1.09,105,81,79.0,11,3,8,12,54.5,3,2,1,0,33.3,Matches
Alex McCarthy,eng ENG,GK,Southampton,31-077,1989,22,22,"1,980",22.0,39,1.77,94,59,62.8,7,5,10,7,31.8,4,4,0,0,0.0,Matches
Edouard Mendy,sn SEN,GK,Chelsea,28-354,1992,19,19,"1,710",19.0,15,0.79,46,34,71.7,10,4,5,10,52.6,2,2,0,0,0.0,Matches
Illan Meslier,fr FRA,GK,Leeds United,20-353,2000,22,22,"1,980",22.0,41,1.86,116,82,70.7,10,2,10,7,31.8,7,7,0,0,0.0,Matches
Robin Olsen,se SWE,GK,Everton,31-041,1990,5,5,450,5.0,8,1.60,20,12,65.0,2,1,2,1,20.0,1,1,0,0,0.0,Matches
Rui Patrício,pt POR,GK,Wolves,33-003,1988,24,24,"2,160",24.0,32,1.33,74,49,64.9,8,6,10,6,25.0,7,6,1,0,14.3,Matches
Bailey Peacock-Farrell,nir NIR,GK,Burnley,24-112,1996,1,1,90,1.0,5,5.00,7,2,28.6,0,0,1,0,0.0,0,0,0,0,,Matches
Jordan Pickford,eng ENG,GK,Everton,26-348,1994,18,18,"1,620",18.0,25,1.39,77,51,68.8,9,3,6,3,16.7,2,1,0,1,0.0,Matches
Nick Pope,eng ENG,GK,Burnley,28-305,1992,23,23,"2,070",23.0,25,1.09,110,88,80.0,7,6,10,8,34.8,3,3,0,0,0.0,Matches
Aaron Ramsdale,eng ENG,GK,Sheffield Utd,22-280,1998,24,24,"2,160",24.0,40,1.67,119,80,68.1,3,2,19,1,4.2,3,2,0,1,0.0,Matches
Darren Randolph,ie IRL,GK,West Ham,33-282,1987,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Marek Rodák,sk SVK,GK,Fulham,24-067,1996,1,1,90,1.0,3,3.00,5,2,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
Mathew Ryan,au AUS,GK,Arsenal,28-316,1992,1,1,90,1.0,1,1.00,8,7,87.5,0,0,1,0,0.0,0,0,0,0,,Matches
Mathew Ryan,au AUS,GK,Brighton,28-316,1992,11,11,990,11.0,19,1.73,30,16,50.0,2,4,5,2,18.2,4,4,0,0,0.0,Matches
Robert Sánchez,es ESP,GK,Brighton,23-092,1997,13,13,"1,170",13.0,11,0.85,41,33,78.0,3,7,3,6,46.2,3,2,0,1,0.0,Matches
Kasper Schmeichel,dk DEN,GK,Leicester City,34-105,1986,24,24,"2,160",24.0,26,1.08,91,64,72.5,14,4,6,9,37.5,1,1,0,0,0.0,Matches
Zack Steffen,us USA,GK,Manchester City,25-322,1995,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Matches
