player,nationality,position,squad,age,birth_year,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,matches
Adrián,es ESP,GK,Liverpool,34-041,1987,2.0,9,0,0,2,0,7.1,0.45,-1.9,-0.93,9,25,36.0,48,14,37.5,36.0,14,50.0,38.7,18,2,11.1,0,0.00,12.3,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25-361,1995,0.2,0,0,0,0,0,0.1,0.04,+0.1,+0.50,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.00,17.5,Matches
Alisson,br BRA,GK,Liverpool,28-134,1992,19.0,19,3,0,3,0,21.1,0.35,+2.1,+0.11,72,155,46.5,544,88,23.0,30.5,95,31.6,34.4,109,9,8.3,25,1.32,18.9,Matches
Alphonse Areola,fr FRA,GK,Fulham,27-352,1993,21.0,28,5,0,2,0,33.3,0.29,+5.3,+0.25,107,260,41.2,413,93,39.7,34.9,150,64.0,46.2,209,25,12.0,13,0.62,14.3,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-133,1994,3.0,6,0,0,0,0,4.8,0.34,-1.2,-0.42,21,40,52.5,79,17,34.2,32.2,27,48.1,40.0,27,4,14.8,0,0.00,14.0,Matches
David Button,eng ENG,GK,West Brom,31-352,1989,1.0,2,0,0,1,0,1.7,0.24,-0.3,-0.31,8,29,27.6,25,2,68.0,49.1,12,100.0,67.0,10,1,10.0,0,0.00,10.0,Matches
Willy Caballero,ar ARG,GK,Chelsea,39-138,1981,1.0,3,0,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15.0,24.6,6,0.0,19.7,8,0,0.0,2,2.00,22.0,Matches
Kiko Casilla,es ESP,GK,Leeds United,34-134,1986,1.0,1,0,0,0,0,1.0,0.52,0.0,+0.04,5,6,83.3,23,10,13.0,22.9,10,30.0,34.1,8,2,25.0,0,0.00,14.7,Matches
Karl Darlow,eng ENG,GK,Newcastle Utd,30-128,1990,23.0,38,2,1,3,2,34.4,0.29,-1.6,-0.07,171,485,35.3,462,80,68.0,50.5,202,84.7,60.2,226,21,9.3,2,0.09,11.5,Matches
Ederson,br BRA,GK,Manchester City,27-180,1993,21.0,13,5,0,2,1,13.5,0.22,+1.5,+0.07,82,170,48.2,516,78,23.8,31.1,94,50.0,44.3,110,7,6.4,18,0.86,16.6,Matches
Łukasz Fabiański,pl POL,GK,West Ham,35-301,1985,22.0,28,2,0,2,0,28.2,0.32,+0.2,+0.01,186,410,45.4,458,85,62.0,46.2,162,77.8,55.4,231,15,6.5,8,0.36,12.8,Matches
Fraser Forster,eng ENG,GK,Southampton,32-333,1988,1.0,0,0,0,0,0,0.0,0.02,0.0,+0.02,5,35,14.3,29,1,72.4,51.4,14,100.0,65.2,19,2,10.5,0,0.00,8.5,Matches
David de Gea,es ESP,GK,Manchester Utd,30-098,1990,20.5,27,4,1,3,2,23.7,0.32,-1.3,-0.06,68,168,40.5,312,59,34.6,33.0,141,42.6,35.7,154,7,4.5,7,0.34,14.0,Matches
Vicente Guaita,es ESP,GK,Crystal Palace,34-034,1987,23.0,39,3,1,6,0,39.9,0.35,+0.9,+0.04,138,417,33.1,453,89,58.1,43.5,183,84.2,59.2,224,13,5.8,10,0.43,13.5,Matches
Dean Henderson,eng ENG,GK,Manchester Utd,23-338,1997,2.5,3,0,0,2,0,3.4,0.24,+0.4,+0.17,9,22,40.9,45,16,40.0,34.3,18,22.2,29.8,26,0,0.0,1,0.40,13.7,Matches
Sam Johnstone,eng ENG,GK,West Brom,27-325,1993,22.0,52,4,0,6,3,50.7,0.35,+1.7,+0.08,199,540,36.9,569,100,68.2,49.4,179,84.9,58.6,218,16,7.3,13,0.59,14.1,Matches
Caoimhin Kelleher,ie IRL,GK,Liverpool,22-082,1998,2.0,1,0,0,0,0,2.2,0.32,+1.2,+0.62,8,19,42.1,48,10,31.3,34.1,14,28.6,33.7,19,2,10.5,1,0.50,18.3,Matches
