player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-168,1990,11.7,1,0,0,7,4,3,26,21,12,0,0,0,114,8,10,44.4,Matches
Tammy Abraham,eng ENG,FW,Chelsea,23-134,1997,10.6,0,0,0,20,12,4,3,2,3,1,0,0,43,36,25,59.0,Matches
Che Adams,eng ENG,FW,Southampton,24-215,1996,19.0,1,0,0,17,34,13,5,5,11,0,0,0,73,25,90,21.7,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,23-142,1997,18.0,1,0,0,9,4,1,3,25,16,0,0,0,172,46,26,63.9,Matches
Adrián,es ESP,GK,Liverpool,34-041,1987,2.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,Matches
Sergio Agüero,ar ARG,FW,Manchester City,32-256,1988,1.6,0,0,0,0,2,0,1,0,0,0,0,0,4,2,3,40.0,Matches
Ola Aina,ng NGA,DF,Fulham,24-128,1996,17.7,2,0,0,15,14,1,32,27,15,0,0,0,156,21,25,45.7,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,19-252,2001,7.7,0,0,0,8,11,0,13,7,8,0,1,0,63,6,7,46.2,Matches
Semi Ajayi,ng NGA,DF,West Brom,27-096,1993,22.0,3,0,0,20,3,0,5,22,31,0,1,0,211,62,32,66.0,Matches
Nathan Aké,nl NED,DF,Manchester City,25-361,1995,5.2,3,0,0,3,2,0,0,3,2,0,0,0,56,23,9,71.9,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-087,1989,11.6,2,0,0,6,19,4,51,13,18,0,0,0,112,10,19,34.5,Matches
Thiago Alcántara,es ESP,MF,Liverpool,29-308,1991,8.3,3,0,0,26,9,0,3,13,15,0,1,0,113,13,13,50.0,Matches
Toby Alderweireld,be BEL,DF,Tottenham,31-348,1989,13.9,2,0,0,11,2,0,1,1,11,0,0,1,128,31,25,55.4,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25-361,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-129,1998,19.5,1,0,0,10,5,2,104,13,18,0,0,0,206,3,18,14.3,Matches
Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,29-001,1992,15.0,3,0,0,22,22,4,33,14,21,0,1,0,145,23,30,43.4,Matches
Alisson,br BRA,GK,Liverpool,28-134,1992,19.0,1,0,0,1,1,0,0,0,0,0,1,0,102,0,1,0.0,Matches
Allan,br BRA,MF,Everton,30-036,1991,11.4,4,0,0,21,18,0,2,7,24,0,0,0,121,0,5,0.0,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,24-308,1996,0.9,0,0,0,0,3,0,1,1,1,0,0,0,10,3,2,60.0,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27-003,1994,15.2,1,0,0,8,22,4,23,18,20,0,0,0,113,4,10,28.6,Matches
Marcos Alonso,es ESP,DF,Chelsea,30-047,1990,4.8,1,0,0,4,5,0,2,2,2,0,0,0,46,13,7,65.0,Matches
Steven Alzate,co COL,MF,Brighton,22-158,1998,6.8,1,0,0,18,5,0,1,4,12,0,0,0,48,6,11,35.3,Matches
Daniel Amartey,gh GHA,DF,Leicester City,26-054,1994,3.1,1,0,0,2,1,0,0,3,1,0,0,0,44,12,12,50.0,Matches
Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,20-152,2000,14.8,1,0,0,13,15,1,5,23,25,0,0,0,159,49,18,73.1,Matches
Joachim Andersen,dk DEN,DF,Fulham,24-258,1996,15.7,4,1,0,21,11,0,0,20,15,0,1,0,186,62,11,84.9,Matches
Elliot Anderson,sco SCO,MF,Newcastle Utd,18-099,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Felipe Anderson,br BRA,"FW,MF",West Ham,27-304,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
Michail Antonio,eng ENG,FW,West Ham,30-322,1990,11.9,1,0,0,15,26,12,16,5,4,0,0,0,43,33,62,34.7,Matches
Alphonse Areola,fr FRA,GK,Fulham,27-352,1993,21.0,0,0,0,0,1,0,0,0,0,0,0,0,84,0,0,,Matches
Stuart Armstrong,sco SCO,MF,Southampton,28-320,1992,16.5,1,0,0,24,14,3,14,15,28,0,0,0,134,5,10,33.3,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-133,1994,3.0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-240,1989,17.5,2,0,0,9,12,12,39,3,3,0,0,1,61,21,36,36.8,Matches
Serge Aurier,ci CIV,DF,Tottenham,28-051,1992,11.9,0,0,0,19,10,0,18,17,25,0,1,0,87,25,24,51.0,Matches
Charlie Austin,eng ENG,FW,West Brom,31-223,1989,1.5,0,0,0,0,2,1,1,2,2,0,0,0,6,7,13,35.0,Matches
Jordan Ayew,gh GHA,FW,Crystal Palace,29-155,1991,12.6,1,0,0,22,32,5,7,12,17,0,0,0,67,21,81,20.6,Matches
