player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-173,1990,12.7,613,769,79.7,10184,4722,322,366,88.0,224,276,81.2,55,103,53.4,1,0.8,+0.2,11,47,21,4,79,Matches
Tammy Abraham,eng ENG,FW,Chelsea,23-139,1997,10.8,142,205,69.3,1972,327,87,111,78.4,37,59,62.7,9,15,60.0,1,0.9,+0.1,8,12,2,0,11,Matches
Che Adams,eng ENG,FW,Southampton,24-220,1996,19.3,289,417,69.3,4747,1079,148,197,75.1,94,122,77.0,32,45,71.1,4,4.3,-0.3,22,20,12,0,38,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,23-147,1997,20.0,881,1022,86.2,20990,7121,162,180,90.0,497,534,93.1,215,295,72.9,0,0.1,-0.1,3,41,2,0,39,Matches
Adrián,es ESP,GK,Liverpool,34-046,1987,2.0,43,62,69.4,1147,723,12,12,100.0,18,19,94.7,11,29,37.9,0,0.0,0.0,0,0,0,0,0,Matches
Sergio Agüero,ar ARG,FW,Manchester City,32-261,1988,1.6,33,42,78.6,386,58,19,23,82.6,5,6,83.3,2,2,100.0,0,0.6,-0.6,3,2,1,0,1,Matches
Ola Aina,ng NGA,DF,Fulham,24-133,1996,19.7,896,1152,77.8,17363,7116,360,394,91.4,399,474,84.2,126,249,50.6,1,1.2,-0.2,10,75,11,6,74,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,19-257,2001,7.7,299,357,83.8,4713,1365,158,171,92.4,122,142,85.9,15,27,55.6,1,0.7,+0.3,6,13,6,3,18,Matches
Semi Ajayi,ng NGA,DF,West Brom,27-101,1993,23.0,568,781,72.7,12345,5271,164,192,85.4,297,368,80.7,106,211,50.2,0,0.1,-0.1,2,51,3,0,49,Matches
Nathan Aké,nl NED,DF,Manchester City,26-000,1995,5.2,429,461,93.1,7845,2158,177,185,95.7,214,226,94.7,36,44,81.8,0,0.0,0.0,1,36,0,0,23,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-092,1989,12.4,359,533,67.4,6194,2542,186,226,82.3,123,157,78.3,38,100,38.0,2,2.6,-0.6,18,33,25,11,52,Matches
Thiago Alcántara,es ESP,MF,Liverpool,29-313,1991,9.1,705,792,89.0,14933,3675,243,267,91.0,315,334,94.3,137,172,79.7,0,0.8,-0.8,12,90,11,1,87,Matches
Toby Alderweireld,be BEL,DF,Tottenham,31-353,1989,13.9,541,670,80.7,12608,3626,135,149,90.6,276,300,92.0,128,211,60.7,0,0.2,-0.2,3,45,4,1,31,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-000,1995,0.2,7,11,63.6,126,51,2,2,100.0,5,5,100.0,0,4,0.0,0,0.0,0.0,0,0,0,0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-134,1998,20.5,1396,1831,76.2,30177,11830,488,552,88.4,625,748,83.6,269,477,56.4,3,3.1,-0.1,30,144,61,13,178,Matches
