player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-168,1990,13,"1,054",81,50.9,11.7,12,86,11,1,19,6,1.31,14,22,-8,-0.68,-0.33,11.3,16.8,-5.5,-0.47,+0.23,Matches
Tammy Abraham,eng ENG,FW,Chelsea,23-134,1997,18,957,53,46.2,10.6,10,83,7,8,16,5,1.61,23,11,+12,+1.13,+0.97,19.2,8.4,+10.8,+1.02,+0.73,Matches
Che Adams,eng ENG,FW,Southampton,24-215,1996,21,"1,713",82,86.5,19.0,20,84,10,1,26,0,1.24,26,34,-8,-0.42,-0.42,19.3,24.4,-5.2,-0.27,+0.27,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,23-142,1997,18,"1,620",90,81.8,18.0,18,90,18,0,,0,0.83,14,20,-6,-0.33,+1.67,20.6,25.0,-4.4,-0.25,+0.48,Matches
Adrián,es ESP,GK,Liverpool,34-041,1987,2,180,90,8.7,2.0,2,90,2,0,,13,0.50,4,9,-5,-2.50,-3.45,4.0,5.2,-1.3,-0.63,-1.41,Matches
Sergio Agüero,ar ARG,FW,Manchester City,32-256,1988,5,143,29,7.2,1.6,2,55,0,3,11,2,2.20,1,2,-1,-0.63,-2.10,2.9,1.2,+1.7,+1.04,-0.17,Matches
Ola Aina,ng NGA,DF,Fulham,24-128,1996,18,"1,594",89,80.5,17.7,18,89,15,0,,1,0.78,14,21,-7,-0.40,+1.24,19.4,25.0,-5.5,-0.31,+0.10,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,19-252,2001,11,692,63,33.4,7.7,8,79,5,3,21,4,0.64,8,11,-3,-0.39,-0.06,8.3,9.1,-0.8,-0.10,-0.02,Matches
Semi Ajayi,ng NGA,DF,West Brom,27-096,1993,22,"1,980",90,95.7,22.0,22,90,22,0,,1,0.50,18,54,-36,-1.64,-1.64,14.4,40.9,-26.5,-1.20,-1.12,Matches
Nathan Aké,nl NED,DF,Manchester City,25-361,1995,6,470,78,23.7,5.2,5,90,5,1,20,3,1.83,9,7,+2,+0.38,-1.23,8.5,5.5,+3.0,+0.57,-0.82,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-087,1989,17,"1,041",61,50.3,11.6,11,82,7,6,24,6,2.29,22,10,+12,+1.04,+0.86,18.3,14.3,+4.0,+0.35,+0.12,Matches
Thiago Alcántara,es ESP,MF,Liverpool,29-308,1991,10,747,75,36.1,8.3,8,86,6,2,32,0,1.20,11,8,+3,+0.36,-0.45,15.3,9.1,+6.2,+0.75,+0.13,Matches
Toby Alderweireld,be BEL,DF,Tottenham,31-348,1989,14,"1,250",89,63.1,13.9,14,89,13,0,,7,1.64,18,12,+6,+0.43,-0.55,15.9,16.6,-0.7,-0.05,-0.48,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25-361,1995,1,16,16,0.8,0.2,0,,0,1,16,19,0.00,0,0,0,0.00,-0.18,0.1,0.5,-0.4,-2.03,-2.19,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-129,1998,21,"1,756",84,84.8,19.5,20,87,16,1,23,0,1.71,36,28,+8,+0.41,-1.60,36.7,24.1,+12.6,+0.65,-0.10,Matches
Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,29-001,1992,20,"1,351",68,68.2,15.0,17,78,10,3,11,2,1.60,27,24,+3,+0.20,+0.63,27.5,23.8,+3.6,+0.24,+1.08,Matches
Alisson,br BRA,GK,Liverpool,28-134,1992,19,"1,710",90,82.6,19.0,19,90,19,0,,0,1.89,36,19,+17,+0.89,+1.39,37.3,21.1,+16.2,+0.85,+1.09,Matches
Allan,br BRA,MF,Everton,30-036,1991,12,"1,028",86,54.4,11.4,12,86,10,0,,0,1.67,18,16,+2,+0.18,-0.24,16.2,14.7,+1.5,+0.13,+0.34,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,24-308,1996,4,77,19,3.9,0.9,1,45,0,3,11,3,1.00,1,1,0,0.00,-0.66,1.9,0.8,+1.0,+1.18,+1.10,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27-003,1994,21,"1,370",65,66.2,15.2,15,83,7,6,20,2,1.05,13,26,-13,-0.85,-0.85,13.7,19.3,-5.6,-0.37,+0.20,Matches
Marcos Alonso,es ESP,DF,Chelsea,30-047,1990,6,434,72,21.0,4.8,5,81,4,1,29,1,2.17,6,6,0,0.00,-0.77,6.7,5.5,+1.3,+0.26,-0.46,Matches
Steven Alzate,co COL,MF,Brighton,22-158,1998,9,612,68,29.6,6.8,6,87,4,3,31,11,1.00,9,13,-4,-0.59,-0.53,8.5,7.6,+0.9,+0.14,-0.14,Matches
Daniel Amartey,gh GHA,DF,Leicester City,26-054,1994,5,280,56,13.5,3.1,3,78,2,2,23,7,2.00,6,5,+1,+0.32,-0.33,4.7,3.1,+1.7,+0.54,+0.28,Matches
Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,20-152,2000,16,"1,331",83,64.3,14.8,15,85,12,1,60,3,0.63,10,23,-13,-0.88,+0.22,13.7,21.6,-7.9,-0.53,-0.02,Matches
Joachim Andersen,dk DEN,DF,Fulham,24-258,1996,16,"1,411",88,71.3,15.7,16,88,15,0,,0,0.88,12,16,-4,-0.26,+1.33,17.7,20.2,-2.4,-0.15,+0.62,Matches
Elliot Anderson,sco SCO,MF,Newcastle Utd,18-099,2002,1,4,4,0.2,0.0,0,,0,1,4,6,0.00,0,0,0,0.00,+0.57,0.0,0.3,-0.3,-7.28,-6.86,Matches
Felipe Anderson,br BRA,"FW,MF",West Ham,27-304,1993,2,3,2,0.1,0.0,0,,0,2,2,2,0.00,0,0,0,0.00,-0.26,0.1,0.2,-0.1,-3.63,-3.80,Matches
Faustino Anjorin,eng ENG,MF,Chelsea,19-082,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Michail Antonio,eng ENG,FW,West Ham,30-322,1990,15,"1,068",71,51.6,11.9,13,79,4,2,23,0,1.87,20,14,+6,+0.51,+0.51,18.5,9.7,+8.8,+0.74,+1.18,Matches
Alphonse Areola,fr FRA,GK,Fulham,27-352,1993,21,"1,890",90,95.5,21.0,21,90,21,0,,1,0.71,17,28,-11,-0.52,+2.48,23.8,29.5,-5.7,-0.27,+1.33,Matches
Stuart Armstrong,sco SCO,MF,Southampton,28-320,1992,18,"1,484",82,74.9,16.5,17,87,11,1,13,1,1.56,23,26,-3,-0.18,+0.73,14.8,22.0,-7.2,-0.44,-0.52,Matches
Kepa Arrizabalaga,es ESP,GK,Chelsea,26-133,1994,3,270,90,13.0,3.0,3,90,3,0,,17,1.33,6,6,0,0.00,-0.70,4.2,6.2,-2.0,-0.67,-1.49,Matches
