player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-168,1990,11.7,815,34,223,407,234,27,716,4,12,33.3,4,0,478,2346,1329,87,25,6,6,7,550,508,92.4,35,Matches
Tammy Abraham,eng ENG,FW,Chelsea,23-134,1997,10.6,325,19,37,152,152,59,317,6,18,33.3,6,2,167,647,241,11,5,3,26,10,449,233,51.9,88,Matches
Che Adams,eng ENG,FW,Southampton,24-215,1996,19.0,630,14,59,279,321,67,623,16,28,57.1,18,0,399,1534,667,40,15,4,53,31,983,487,49.5,144,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,23-142,1997,18.0,1117,225,652,469,44,22,1085,4,4,100.0,4,0,625,2604,1422,25,4,0,2,7,730,704,96.4,3,Matches
Adrián,es ESP,GK,Liverpool,34-041,1987,2.0,69,64,69,0,0,0,52,0,0,,0,0,29,110,65,0,0,0,0,0,28,27,96.4,0,Matches
Sergio Agüero,ar ARG,FW,Manchester City,32-256,1988,1.6,60,0,4,20,37,15,57,0,2,0.0,1,1,27,133,83,5,1,1,3,1,67,47,70.1,16,Matches
Ola Aina,ng NGA,DF,Fulham,24-128,1996,17.7,1200,78,451,604,213,6,1057,6,12,50.0,7,1,654,3339,1832,68,25,2,9,8,759,724,95.4,16,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,19-252,2001,7.7,455,22,122,202,151,13,406,15,29,51.7,15,2,305,1468,943,50,10,6,9,8,308,283,91.9,14,Matches
Semi Ajayi,ng NGA,DF,West Brom,27-096,1993,22.0,990,168,537,439,61,22,942,9,12,75.0,9,1,486,2710,1454,25,8,0,4,9,547,504,92.1,5,Matches
Nathan Aké,nl NED,DF,Manchester City,25-361,1995,5.2,492,16,110,362,47,4,472,0,0,,0,0,361,1668,936,42,9,0,1,2,396,388,98.0,3,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-087,1989,11.6,649,27,137,267,291,24,611,22,42,52.4,23,1,436,2170,1141,53,16,4,13,26,537,421,78.4,42,Matches
Thiago Alcántara,es ESP,MF,Liverpool,29-308,1991,8.3,832,13,129,542,218,5,812,12,17,70.6,12,0,590,2398,1246,62,30,2,7,4,660,633,95.9,19,Matches
Toby Alderweireld,be BEL,DF,Tottenham,31-348,1989,13.9,823,161,464,383,23,7,798,2,2,100.0,2,0,455,2507,1299,35,3,0,1,1,523,515,98.5,2,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25-361,1995,0.2,13,11,12,1,0,0,10,0,0,,0,0,8,37,30,0,0,0,0,0,6,6,100.0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-129,1998,19.5,1882,39,408,895,671,46,1608,18,32,56.3,20,3,1207,4736,2862,120,39,13,8,7,1359,1280,94.2,61,Matches
Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,29-001,1992,15.0,1138,40,312,574,340,31,1025,10,13,76.9,10,4,675,3666,2370,86,31,3,14,11,839,749,89.3,53,Matches
Alisson,br BRA,GK,Liverpool,28-134,1992,19.0,682,519,680,4,0,0,539,1,1,100.0,1,0,351,1183,637,0,0,0,0,0,358,356,99.4,0,Matches
Allan,br BRA,MF,Everton,30-036,1991,11.4,654,32,195,426,84,1,633,17,22,77.3,17,1,426,2458,1469,49,17,1,7,13,441,422,95.7,9,Matches
Dele Alli,eng ENG,"MF,FW",Tottenham,24-308,1996,0.9,55,1,12,30,23,4,53,0,1,0.0,0,0,29,194,77,3,3,0,1,2,48,38,79.2,10,Matches
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27-003,1994,15.2,706,23,153,312,302,33,694,21,38,55.3,21,0,524,3490,1793,71,29,7,16,25,610,473,77.5,64,Matches
Marcos Alonso,es ESP,DF,Chelsea,30-047,1990,4.8,363,20,125,151,116,15,321,4,8,50.0,4,0,223,1173,744,31,11,2,2,7,259,230,88.8,16,Matches
Steven Alzate,co COL,MF,Brighton,22-158,1998,6.8,381,17,90,203,109,12,374,7,11,63.6,8,0,275,1257,607,28,9,3,10,11,302,277,91.7,17,Matches
Daniel Amartey,gh GHA,DF,Leicester City,26-054,1994,3.1,209,26,108,103,7,1,204,1,1,100.0,1,0,129,410,206,2,2,0,0,1,140,130,92.9,0,Matches
Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,20-152,2000,14.8,847,71,294,450,160,6,804,7,10,70.0,7,0,466,2828,1612,65,21,0,11,6,504,483,95.8,7,Matches
Joachim Andersen,dk DEN,DF,Fulham,24-258,1996,15.7,1041,185,622,443,39,6,1015,2,2,100.0,2,0,596,3654,1970,29,6,0,2,2,660,645,97.7,3,Matches
Elliot Anderson,sco SCO,MF,Newcastle Utd,18-099,2002,0.0,2,0,0,1,1,1,2,0,0,,0,0,1,4,1,0,0,0,0,0,3,1,33.3,1,Matches
Felipe Anderson,br BRA,"FW,MF",West Ham,27-304,1993,0.0,7,0,0,5,3,1,7,0,0,,0,0,6,68,50,2,1,0,0,0,7,6,85.7,0,Matches
