player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Patrick van Aanholt,nl NED,DF,Crystal Palace,30-173,1990,12.7,0,15,5,33.3,1.18,0.39,0.00,0.00,20.6,3,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Tammy Abraham,eng ENG,FW,Chelsea,23-139,1997,10.8,6,31,13,41.9,2.86,1.20,0.19,0.46,9.9,0,0,0,5.6,5.6,0.18,+0.4,+0.4,Matches
Che Adams,eng ENG,FW,Southampton,24-220,1996,19.3,4,38,17,44.7,1.97,0.88,0.11,0.24,13.6,0,0,0,5.1,5.1,0.13,-1.1,-1.1,Matches
Tosin Adarabioyo,eng ENG,DF,Fulham,23-147,1997,20.0,0,14,3,21.4,0.70,0.15,0.00,0.00,8.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
Adrián,es ESP,GK,Liverpool,34-046,1987,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergio Agüero,ar ARG,FW,Manchester City,32-261,1988,1.6,0,4,1,25.0,2.52,0.63,0.00,0.00,8.4,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
Ola Aina,ng NGA,DF,Fulham,24-133,1996,19.7,2,11,2,18.2,0.56,0.10,0.18,1.00,24.7,1,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
Rayan Aït Nouri,fr FRA,DF,Wolves,19-257,2001,7.7,1,9,3,33.3,1.17,0.39,0.11,0.33,20.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
Semi Ajayi,ng NGA,DF,West Brom,27-101,1993,23.0,2,7,3,42.9,0.30,0.13,0.29,0.67,10.1,0,0,0,0.5,0.5,0.07,+1.5,+1.5,Matches
Nathan Aké,nl NED,DF,Manchester City,26-000,1995,5.2,1,1,1,100.0,0.19,0.19,1.00,1.00,7.0,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-092,1989,12.4,0,14,6,42.9,1.13,0.48,0.00,0.00,21.3,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Thiago Alcántara,es ESP,MF,Liverpool,29-313,1991,9.1,0,12,1,8.3,1.32,0.11,0.00,0.00,22.2,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Toby Alderweireld,be BEL,DF,Tottenham,31-353,1989,13.9,1,6,2,33.3,0.43,0.14,0.17,0.50,8.1,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-000,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-134,1998,20.5,1,30,6,20.0,1.46,0.29,0.03,0.17,24.9,10,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,29-006,1992,15.6,2,14,5,35.7,0.90,0.32,0.14,0.40,19.2,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches
Alisson,br BRA,GK,Liverpool,28-139,1992,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
