,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,0,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-168,1990,13,12,1054,11.7,0,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,0.7,0.7,0.8,1.5,0.06,0.07,0.13,0.06,0.13,Matches
1,1,Tammy Abraham,eng ENG,FW,Chelsea,23-134,1997,18,10,957,10.6,6,1,6,0,0,0,0,0.56,0.09,0.66,0.56,0.66,5.5,5.5,0.9,6.3,0.51,0.08,0.6,0.51,0.6,Matches
2,2,Che Adams,eng ENG,FW,Southampton,24-215,1996,21,20,1713,19.0,4,4,4,0,0,1,0,0.21,0.21,0.42,0.21,0.42,4.9,4.9,4.3,9.2,0.26,0.23,0.48,0.26,0.48,Matches
3,3,Tosin Adarabioyo,eng ENG,DF,Fulham,23-142,1997,18,18,1620,18.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,0.04,0.01,0.05,0.04,0.05,Matches
4,4,Adrián,es ESP,GK,Liverpool,34-041,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,5,Sergio Agüero,ar ARG,FW,Manchester City,32-256,1988,5,2,143,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,1.2,0.4,0.35,0.76,0.4,0.76,Matches
6,6,Ola Aina,ng NGA,DF,Fulham,24-128,1996,18,18,1594,17.7,1,0,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06,0.4,0.4,0.3,0.8,0.03,0.02,0.04,0.03,0.04,Matches
7,7,Rayan Aït Nouri,fr FRA,DF,Wolves,19-252,2001,11,8,692,7.7,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.3,0.3,0.7,1.1,0.04,0.1,0.14,0.04,0.14,Matches
8,8,Semi Ajayi,ng NGA,DF,West Brom,27-096,1993,22,22,1980,22.0,2,0,2,0,0,3,0,0.09,0.0,0.09,0.09,0.09,0.5,0.5,0.1,0.6,0.02,0.0,0.03,0.02,0.03,Matches
9,9,Nathan Aké,nl NED,DF,Manchester City,25-361,1995,6,5,470,5.2,1,0,1,0,0,3,0,0.19,0.0,0.19,0.19,0.19,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,Matches
10,10,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-087,1989,17,11,1041,11.6,0,2,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17,0.9,0.9,2.6,3.5,0.08,0.23,0.3,0.08,0.3,Matches
11,11,Thiago Alcántara,es ESP,MF,Liverpool,29-308,1991,10,8,747,8.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,0.05,0.1,0.14,0.05,0.14,Matches
