player,nationality,position,squad,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,3.2,7,5,0,6,1,2,3,66.7,1,59,13,22.0,2,42,15,4,1,0,3,2,9,1,0,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,17.3,38,28,23,12,3,7,25,28.0,18,208,94,45.2,121,69,18,33,9,0,24,34,72,87,0,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,7.8,12,10,7,5,0,2,10,20.0,8,132,38,28.8,45,77,10,15,4,0,11,14,26,14,0,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,8.4,29,16,8,14,7,7,20,35.0,13,216,65,30.1,43,91,82,12,0,0,12,2,31,3,0,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,7.4,30,19,10,19,1,6,16,37.5,10,221,71,32.1,60,114,47,18,4,0,14,14,44,8,0,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,15.6,27,20,9,14,4,9,40,22.5,31,285,78,27.4,67,148,70,23,1,0,22,8,35,6,0,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15.0,14,5,10,4,0,7,12,58.3,5,113,33,29.2,76,33,4,23,14,0,9,12,26,75,0,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,19.6,44,32,16,22,6,16,44,36.4,28,398,113,28.4,117,212,69,30,5,0,25,13,57,14,0,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,0.8,0,0,0,0,0,0,1,0.0,1,10,1,10.0,1,7,2,2,0,0,2,0,0,0,0,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,0,0,0,0,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,6.9,12,7,4,6,2,8,11,72.7,3,71,17,23.9,26,31,14,8,1,0,7,6,18,13,0,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,11.6,35,24,16,14,5,8,26,30.8,18,201,75,37.3,90,82,29,19,1,0,18,8,43,5,0,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,0.5,0,0,0,0,0,0,0,,0,12,1,8.3,6,5,1,2,0,0,2,0,0,2,0,Matches
