player,nationality,position,squad,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,gca_og_for,matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,3.2,5,1.55,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,17.3,13,0.75,12,0,0,0,0,1,3,0.17,3,0,0,0,0,0,0,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,7.8,4,0.52,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,8.4,17,2.02,7,1,3,1,3,2,2,0.24,1,0,0,1,0,0,0,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,7.4,17,2.31,12,0,1,0,1,3,1,0.14,1,0,0,0,0,0,0,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,15.6,69,4.43,50,15,3,0,1,0,1,0.06,0,0,1,0,0,0,0,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15.0,5,0.33,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,19.6,26,1.33,23,0,1,2,0,0,1,0.05,0,0,0,1,0,0,0,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,6.9,19,2.76,12,5,0,1,1,0,1,0.15,1,0,0,0,0,0,0,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,11.6,16,1.38,13,0,0,0,3,0,1,0.09,1,0,0,0,0,0,0,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21.0,3,0.14,2,1,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
Tommaso Augello,it ITA,DF,Sampdoria,26-167,1994,19.3,24,1.25,22,0,1,1,0,0,2,0.10,2,0,0,0,0,0,0,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26-095,1994,7.7,3,0.39,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Milan Badelj,hr CRO,MF,Genoa,31-354,1989,14.4,31,2.15,26,1,0,0,2,2,2,0.14,2,0,0,0,0,0,0,Matches
Tiemoué Bakayoko,fr FRA,MF,Napoli,26-180,1994,12.9,25,1.93,20,0,1,1,3,0,2,0.15,1,0,0,0,1,0,0,Matches
Keita Baldé,sn SEN,FW,Sampdoria,25-342,1995,5.5,17,3.08,7,0,3,4,2,1,1,0.18,1,0,0,0,0,0,0,Matches
Botond Balogh,hu HUN,DF,Parma,18-252,2002,1.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
Mattia Bani,it ITA,DF,Genoa,27-065,1993,10.2,3,0.29,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
