player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,pens_save_pct,matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2,2,180,2.0,5,2.50,7,2,28.6,1,0,1,0,0.0,0,0,0,0,,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21,21,"1,890",21.0,32,1.52,91,66,71.4,8,3,10,2,9.5,7,6,1,0,14.3,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4,4,360,4.0,2,0.50,9,8,88.9,3,1,0,2,50.0,1,1,0,0,0.0,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20,20,"1,800",20.0,32,1.60,94,63,68.1,8,6,6,4,20.0,2,2,0,0,0.0,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21,21,"1,890",21.0,50,2.38,117,69,59.8,3,3,15,2,9.5,3,3,0,0,0.0,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6,6,540,6.0,9,1.50,26,17,69.2,0,5,1,1,16.7,1,1,0,0,0.0,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21,21,"1,890",21.0,39,1.86,123,86,71.5,3,6,12,2,9.5,4,4,0,0,0.0,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,21-354,1999,20,20,"1,800",20.0,20,1.00,72,55,75.0,15,3,2,8,40.0,4,2,1,1,33.3,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,23-178,1997,21,21,"1,890",21.0,33,1.57,82,54,64.6,5,7,9,5,23.8,6,4,2,0,33.3,Matches
Pierluigi Gollini,it ITA,GK,Atalanta,25-332,1995,14,14,"1,235",13.7,14,1.02,41,26,68.3,6,6,2,5,35.7,3,1,2,0,66.7,Matches
Samir Handanović,si SVN,GK,Inter,36-214,1984,21,21,"1,890",21.0,23,1.10,66,45,69.7,14,5,2,7,33.3,4,3,1,0,25.0,Matches
Pau López,es ESP,GK,Roma,26-062,1994,11,10,917,10.2,16,1.57,37,24,59.5,7,1,2,1,10.0,1,1,0,0,0.0,Matches
Federico Marchetti,it ITA,GK,Genoa,38-006,1983,2,2,154,1.7,6,3.51,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,Matches
Alex Meret,it ITA,GK,Napoli,23-328,1997,8,8,720,8.0,10,1.25,32,22,68.8,5,1,2,2,25.0,0,0,0,0,,Matches
Vanja Milinković-Savić,rs SRB,GK,Torino,23-359,1997,2,2,180,2.0,4,2.00,10,7,70.0,0,1,1,0,0.0,1,1,0,0,0.0,Matches
Antonio Mirante,it ITA,GK,Roma,37-220,1983,11,11,973,10.8,16,1.48,39,24,64.1,5,3,3,4,36.4,3,2,1,0,33.3,Matches
Lorenzo Montipò,it ITA,GK,Benevento,24-359,1996,22,22,"1,980",22.0,42,1.91,96,59,59.4,6,6,10,5,22.7,3,3,0,0,0.0,Matches
Juan Musso,ar ARG,GK,Udinese,26-283,1994,19,19,"1,710",19.0,23,1.21,69,49,71.0,5,6,8,6,31.6,3,3,0,0,0.0,Matches
David Ospina,co COL,GK,Napoli,32-166,1988,12,12,"1,080",12.0,11,0.92,23,15,65.2,7,0,5,5,41.7,3,3,0,0,0.0,Matches
Alberto Paleari,it ITA,GK,Genoa,28-168,1992,2,1,116,1.3,3,2.33,8,4,62.5,0,0,1,0,0.0,0,0,0,0,,Matches
Gianluca Pegolo,it ITA,GK,Sassuolo,39-325,1981,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches
