player,nationality,position,squad,age,birth_year,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,5,0,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21.0,32,6,0,6,1,29.6,0.27,-1.4,-0.07,142,344,41.3,521,107,47.2,38.9,156,62.8,45.5,212,17,8.0,9,0.43,12.3,Matches
Gianluigi Buffon,it ITA,GK,Juventus,43-016,1978,4.0,2,1,0,0,0,2.4,0.18,+0.4,+0.11,10,23,43.5,103,19,19.4,27.2,33,9.1,18.4,33,0,0.0,5,1.25,14.6,Matches
Andrea Consigli,it ITA,GK,Sassuolo,34-017,1987,20.0,32,2,0,4,1,29.1,0.29,-1.9,-0.09,104,234,44.4,594,83,31.8,31.1,144,31.3,28.5,188,15,8.0,15,0.75,16.1,Matches
Alex Cordaz,it ITA,GK,Crotone,38-043,1983,21.0,50,3,1,5,1,43.4,0.35,-5.6,-0.26,113,270,41.9,689,104,34.1,31.6,159,22.0,24.8,170,9,5.3,22,1.05,16.0,Matches
Angelo da Costa Júnior,br BRA,GK,Bologna,37-093,1983,6.0,9,1,1,0,0,9.4,0.36,+0.4,+0.07,35,70,50.0,245,23,24.5,30.3,42,23.8,24.4,48,0,0.0,7,1.17,16.0,Matches
Alessio Cragno,it ITA,GK,Cagliari,26-230,1994,21.0,39,4,1,5,0,42.0,0.32,+3.0,+0.14,119,251,47.4,419,91,40.1,34.2,175,47.4,36.8,201,16,8.0,12,0.57,13.4,Matches
Gianluigi Donnarumma,it ITA,GK,Milan,21-354,1999,20.0,20,2,1,4,1,23.0,0.29,+4.0,+0.20,98,259,37.8,549,74,37.5,33.8,111,47.7,37.7,188,18,9.6,10,0.50,14.5,Matches
Bartłomiej Drągowski,pl POL,GK,Fiorentina,23-178,1997,21.0,33,4,1,6,1,32.2,0.33,+0.2,+0.01,114,270,42.2,482,110,44.6,38.7,146,37.7,35.3,188,12,6.4,11,0.52,14.3,Matches
Pierluigi Gollini,it ITA,GK,Atalanta,25-332,1995,13.7,14,1,0,3,0,15.2,0.30,+1.2,+0.09,77,159,48.4,308,45,38.3,35.9,64,64.1,50.1,84,3,3.6,11,0.80,14.9,Matches
