player,nationality,position,squad,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,3.2,1,0,0,5,10,1,6,2,5,0,0,0,20,0,3,0.0,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,17.3,3,0,0,16,12,2,13,34,28,0,0,0,217,37,9,80.4,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,7.8,2,0,0,15,7,0,0,14,10,0,0,0,91,9,6,60.0,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,8.4,2,0,0,11,18,2,3,2,16,0,0,0,40,14,19,42.4,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,7.4,7,0,0,24,7,0,1,14,19,0,0,0,68,5,4,55.6,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,15.6,3,0,0,11,22,2,16,8,20,0,0,0,138,3,6,33.3,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15.0,3,0,0,15,7,1,6,12,5,0,0,0,136,32,4,88.9,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,19.6,5,0,0,44,27,0,5,13,32,0,0,0,203,11,21,34.4,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,100.0,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,6.9,0,0,0,8,4,0,39,6,7,0,0,0,35,2,5,28.6,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,11.6,8,0,0,26,23,0,0,8,24,0,0,0,123,9,5,64.3,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,0.5,2,0,0,3,0,0,0,0,0,0,0,0,1,1,2,33.3,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21.0,0,0,0,0,3,0,0,0,0,0,0,0,106,0,0,,Matches
Tommaso Augello,it ITA,DF,Sampdoria,26-167,1994,19.3,2,1,0,9,14,1,68,20,16,0,0,0,173,19,20,48.7,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26-095,1994,7.7,3,0,0,8,2,0,3,8,9,0,0,0,49,14,14,50.0,Matches
Milan Badelj,hr CRO,MF,Genoa,31-354,1989,14.4,5,0,0,22,18,0,5,40,25,0,0,0,202,8,11,42.1,Matches
Tiemoué Bakayoko,fr FRA,MF,Napoli,26-180,1994,12.9,4,1,1,16,31,0,0,13,30,1,0,0,130,26,13,66.7,Matches
Keita Baldé,sn SEN,FW,Sampdoria,25-342,1995,5.5,3,1,0,14,18,2,5,1,5,0,1,0,19,6,19,24.0,Matches
Botond Balogh,hu HUN,DF,Parma,18-252,2002,1.6,1,0,0,1,0,0,0,0,3,0,0,0,7,1,3,25.0,Matches
Mattia Bani,it ITA,DF,Genoa,27-065,1993,10.2,4,0,0,13,8,1,0,18,8,0,0,0,115,40,25,61.5,Matches
Mattia Bani,it ITA,DF,Parma,27-065,1993,0.5,0,0,0,1,0,0,1,1,0,0,0,0,7,2,0,100.0,Matches
Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26-072,1994,16.2,2,1,0,34,13,2,11,6,16,0,0,0,133,28,38,42.4,Matches
