player,nationality,position,squad,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,3.2,105,129,81.4,2136,310,37,43,86.0,46,56,82.1,20,25,80.0,0,0.0,0.0,1,7,1,1,10,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,17.3,921,1053,87.5,19851,5224,276,302,91.4,457,485,94.2,174,241,72.2,1,0.4,+0.6,5,71,9,5,55,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,7.8,371,418,88.8,7722,1644,121,129,93.8,175,192,91.1,67,85,78.8,0,0.1,-0.1,2,32,3,0,32,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,8.4,140,195,71.8,2523,500,68,79,86.1,49,68,72.1,19,31,61.3,0,0.2,-0.2,3,11,5,0,13,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,7.4,185,230,80.4,3240,662,96,112,85.7,66,79,83.5,20,25,80.0,1,0.9,+0.1,11,14,8,0,23,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,15.6,746,978,76.3,13956,5441,329,373,88.2,290,362,80.1,110,209,52.6,0,4.0,-4.0,41,127,46,3,139,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15.0,693,800,86.6,18127,5472,100,108,92.6,358,402,89.1,230,284,81.0,0,0.1,-0.1,1,38,1,1,29,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,19.6,1033,1151,89.7,22168,4602,346,394,87.8,459,489,93.9,213,237,89.9,0,0.4,-0.4,9,100,10,4,90,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,0.8,24,33,72.7,299,70,17,19,89.5,6,9,66.7,0,2,0.0,0,0.0,0.0,0,0,0,0,1,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,33,40,82.5,990,578,6,6,100.0,17,17,100.0,10,17,58.8,0,0.0,0.0,0,0,0,0,0,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,6.9,232,335,69.3,4880,1756,91,101,90.1,95,121,78.5,46,105,43.8,0,1.1,-1.1,13,13,12,10,24,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,11.6,451,538,83.8,8673,1702,182,206,88.3,202,225,89.8,57,82,69.5,0,0.2,-0.2,4,39,6,0,31,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,0.5,2,6,33.3,53,49,1,3,33.3,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21.0,464,677,68.5,15051,8965,55,55,100.0,202,203,99.5,206,418,49.3,1,0.4,+0.6,1,4,0,0,0,Matches
Tommaso Augello,it ITA,DF,Sampdoria,26-167,1994,19.3,845,1116,75.7,14783,6327,370,417,88.7,387,473,81.8,76,173,43.9,2,1.4,+0.6,15,52,23,11,86,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26-095,1994,7.7,425,457,93.0,7626,1988,176,183,96.2,203,212,95.8,38,50,76.0,0,0.0,0.0,1,28,2,0,25,Matches
Milan Badelj,hr CRO,MF,Genoa,31-354,1989,14.4,617,781,79.0,12424,3787,245,281,87.2,263,319,82.4,105,161,65.2,2,1.7,+0.3,15,62,17,2,78,Matches
Tiemoué Bakayoko,fr FRA,MF,Napoli,26-180,1994,12.9,698,766,91.1,12858,2732,306,336,91.1,282,297,94.9,95,110,86.4,1,0.8,+0.2,9,69,8,0,52,Matches
Keita Baldé,sn SEN,FW,Sampdoria,25-342,1995,5.5,105,147,71.4,1505,222,60,76,78.9,34,44,77.3,7,13,53.8,1,0.6,+0.4,6,5,4,0,7,Matches
Botond Balogh,hu HUN,DF,Parma,18-252,2002,1.6,51,70,72.9,1312,360,6,7,85.7,28,33,84.8,16,26,61.5,0,0.0,0.0,0,0,0,0,2,Matches
Mattia Bani,it ITA,DF,Genoa,27-065,1993,10.2,438,518,84.6,9895,3217,116,133,87.2,227,248,91.5,91,125,72.8,0,0.1,-0.1,1,17,2,0,15,Matches
Mattia Bani,it ITA,DF,Parma,27-065,1993,0.5,25,34,73.5,648,268,5,7,71.4,9,12,75.0,11,15,73.3,0,0.0,0.0,0,3,0,0,4,Matches
Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26-072,1994,16.2,509,647,78.7,8727,2302,245,287,85.4,206,251,82.1,47,71,66.2,1,1.8,-0.8,13,60,16,4,72,Matches
Federico Barba,it ITA,DF,Benevento,27-165,1993,15.2,627,797,78.7,12343,4905,218,246,88.6,318,376,84.6,78,141,55.3,1,0.6,+0.4,7,37,10,2,47,Matches
Nicolò Barella,it ITA,MF,Inter,24-006,1997,18.0,888,1086,81.8,15281,5209,442,493,89.7,339,398,85.2,91,148,61.5,5,3.3,+1.7,28,86,43,7,137,Matches
Antonio Barreca,it ITA,DF,Fiorentina,25-332,1995,0.9,31,48,64.6,474,166,16,20,80.0,13,19,68.4,1,7,14.3,0,0.0,0.0,1,3,1,0,5,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,22-091,1998,19.1,517,728,71.0,9956,2583,238,286,83.2,183,236,77.5,83,168,49.4,3,2.6,+0.4,35,50,24,9,60,Matches
Paolo Bartolomei,it ITA,MF,Spezia,31-176,1989,3.6,92,127,72.4,1574,336,43,49,87.8,37,47,78.7,8,23,34.8,1,0.3,+0.7,5,10,3,1,10,Matches
Daniele Baselli,it ITA,MF,Torino,28-338,1992,0.8,33,43,76.7,690,200,10,14,71.4,10,13,76.9,10,11,90.9,0,0.0,0.0,0,3,0,0,4,Matches
Alessandro Bastoni,it ITA,DF,Inter,21-306,1999,17.6,1181,1317,89.7,23975,6473,392,413,94.9,581,618,94.0,187,257,72.8,2,1.2,+0.8,6,102,9,1,75,Matches
Simone Bastoni,it ITA,DF,Spezia,24-100,1996,9.8,494,626,78.9,9417,3339,223,246,90.7,182,221,82.4,82,126,65.1,4,2.3,+1.7,15,30,12,3,42,Matches
Bastos,ao ANG,DF,Lazio,29-323,1991,0.7,39,42,92.9,647,160,18,20,90.0,16,17,94.1,3,3,100.0,0,0.0,0.0,0,1,2,0,2,Matches
Rodrigo Becão,br BRA,DF,Udinese,25-025,1996,18.5,696,795,87.5,13748,4705,235,259,90.7,357,384,93.0,96,131,73.3,0,0.0,0.0,2,48,1,0,29,Matches
Valon Behrami,ch SUI,MF,Genoa,35-300,1985,5.3,94,127,74.0,1416,518,47,63,74.6,35,47,74.5,7,10,70.0,0,0.0,0.0,1,11,1,0,14,Matches
Andrea Belotti,it ITA,FW,Torino,27-055,1993,19.8,314,442,71.0,5136,1160,171,206,83.0,107,151,70.9,27,43,62.8,5,4.7,+0.3,22,20,29,3,41,Matches
Ahmad Benali,ly LBY,MF,Crotone,29-006,1992,6.5,383,444,86.3,6774,1771,172,185,93.0,166,185,89.7,36,51,70.6,0,0.4,-0.4,5,34,9,2,34,Matches
Ismaël Bennacer,dz ALG,MF,Milan,23-074,1997,7.4,429,494,86.8,8044,2515,183,196,93.4,179,194,92.3,57,84,67.9,1,0.4,+0.6,3,42,8,1,42,Matches
Rodrigo Bentancur,uy URU,MF,Juventus,23-253,1997,13.6,924,1026,90.1,18450,4655,345,370,93.2,428,461,92.8,141,177,79.7,2,1.3,+0.7,14,96,12,3,95,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,26-196,1994,14.4,522,692,75.4,10042,2918,222,260,85.4,208,240,86.7,80,148,54.1,4,2.4,+1.6,30,35,51,7,98,Matches
