player,nationality,position,squad,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
Basit Abdallah,gh GHA,MF,Benevento,21-121,1999,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,6,290,48,15.3,3.2,2,90,1,4,28,4,0.67,4,8,-4,-1.24,-0.90,2.2,5.9,-3.7,-1.15,-0.61,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,18,"1,557",87,82.4,17.3,18,87,17,0,,0,2.00,30,21,+9,+0.52,+0.52,26.5,21.3,+5.2,+0.30,+0.74,Matches
Enzo Adeagbo,ch SUI,DF,Lazio,19-033,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Bobby Adekanye,nl NED,FW,Lazio,21-365,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,1,10,10,0.5,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-7.76,0.0,1.1,-1.1,-9.85,-9.21,Matches
Giuseppe Agostino,it ITA,GK,Genoa,18-054,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,9,699,78,37.0,7.8,8,86,6,1,9,11,1.33,11,11,0,0.00,+0.76,10.1,15.2,-5.1,-0.65,-0.03,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,16,757,47,40.1,8.4,8,68,2,8,27,4,1.00,14,13,+1,+0.12,+0.99,10.9,13.2,-2.3,-0.27,+0.60,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,19,662,35,35.0,7.4,3,87,2,16,25,1,2.05,16,10,+6,+0.82,+0.60,9.9,9.6,+0.3,+0.04,-0.20,Matches
Fabrizio Alastra,it ITA,GK,Parma,23-135,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,18,"1,402",78,74.2,15.6,18,78,6,0,,0,1.89,25,17,+8,+0.51,+0.33,22.1,18.5,+3.6,+0.23,+0.24,Matches
Marco Alia,al ALB,GK,Lazio,20-293,2000,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15,"1,350",90,71.4,15.0,15,90,15,0,,0,0.67,7,29,-22,-1.47,-0.63,10.6,23.4,-12.8,-0.85,-0.57,Matches
Bruno Amione,ar ARG,DF,Hellas Verona,19-041,2002,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,20,"1,761",88,93.2,19.6,20,88,16,0,,0,0.95,20,32,-12,-0.61,-0.61,24.7,30.4,-5.8,-0.29,-0.82,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,3,72,24,3.8,0.8,1,45,0,2,14,13,1.00,0,2,-2,-2.50,-3.04,0.2,0.5,-0.3,-0.35,-0.54,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2,180,90,9.5,2.0,2,90,2,0,,3,1.50,5,5,0,0.00,+0.26,3.1,2.1,+1.0,+0.49,+0.19,Matches
Davide Angelo Ghislandi,it ITA,MF,Atalanta,19-242,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Peter Ankersen,dk DEN,DF,Genoa,30-144,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
