player,nationality,position,squad,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,3.2,163,2,14,103,66,4,161,1,4,25.0,2,0,127,863,401,19,12,0,2,7,153,127,83.0,10,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,17.3,1258,194,659,606,92,6,1203,4,5,80.0,4,0,745,4860,2486,60,13,0,6,4,800,781,97.6,10,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,0.1,2,0,1,2,0,0,2,0,1,0.0,0,0,2,0,0,0,0,0,0,1,1,1,100.0,0,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,7.8,482,28,147,300,59,1,472,3,5,60.0,3,0,306,1390,471,14,2,1,2,7,334,312,93.4,7,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,8.4,329,3,41,170,161,33,324,24,40,60.0,26,2,246,1689,1077,48,22,12,21,20,334,226,67.7,50,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,7.4,329,13,79,184,93,16,325,17,21,81.0,17,4,229,1152,513,23,7,2,12,11,239,182,76.2,30,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,15.6,1168,9,167,641,499,27,1026,33,55,60.0,38,5,821,5212,3503,166,70,5,27,34,927,816,88.0,68,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15.0,934,171,543,434,29,15,901,1,3,33.3,1,0,520,3163,1740,23,2,0,2,0,643,634,98.6,5,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,19.6,1341,34,236,957,248,10,1296,30,42,71.4,31,1,1011,5693,2411,90,29,1,12,40,1031,974,94.5,33,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,0.8,38,1,6,18,18,0,31,0,1,0.0,0,0,26,168,78,6,1,0,1,1,25,20,80.0,1,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,40,37,40,0,0,0,28,0,0,,0,0,24,107,54,0,0,0,0,0,19,19,100.0,0,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,0.1,1,0,0,1,0,0,1,0,1,0.0,1,0,1,0,0,0,0,0,0,0,6,1,16.7,0,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,6.9,395,24,110,187,128,7,325,11,17,64.7,11,0,258,1792,886,43,14,2,7,5,279,244,87.5,10,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,11.6,652,16,150,419,143,9,635,20,25,80.0,20,0,478,2615,1525,84,29,4,8,14,454,440,96.9,20,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,0.5,11,1,7,4,0,0,11,0,0,,0,0,5,11,3,0,0,0,1,0,8,5,62.5,0,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21.0,730,665,729,1,0,0,513,0,0,,0,0,318,1627,894,0,0,0,0,0,298,298,100.0,0,Matches
Tommaso Augello,it ITA,DF,Sampdoria,26-167,1994,19.3,1292,82,424,604,362,12,1094,17,35,48.6,21,3,791,4614,2782,102,45,3,19,18,843,777,92.2,28,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26-095,1994,7.7,531,70,181,305,79,5,501,2,3,66.7,2,0,364,1821,1284,52,16,2,2,1,396,377,95.2,4,Matches
Milan Badelj,hr CRO,MF,Genoa,31-354,1989,14.4,960,61,290,548,158,8,922,13,20,65.0,13,0,550,1951,945,37,9,0,8,20,590,555,94.1,19,Matches
Tiemoué Bakayoko,fr FRA,MF,Napoli,26-180,1994,12.9,898,24,194,594,152,11,887,17,21,81.0,17,1,610,2228,872,29,9,1,14,13,695,673,96.8,19,Matches
Keita Baldé,sn SEN,FW,Sampdoria,25-342,1995,5.5,227,0,7,95,144,42,221,9,16,56.3,9,0,177,1007,624,36,12,11,16,11,317,190,59.9,60,Matches
Botond Balogh,hu HUN,DF,Parma,18-252,2002,1.6,90,15,65,30,2,1,85,1,1,100.0,1,0,50,283,165,1,0,0,1,0,60,58,96.7,1,Matches
Mattia Bani,it ITA,DF,Genoa,27-065,1993,10.2,644,106,367,276,25,7,624,1,3,33.3,1,0,330,1613,716,12,3,0,0,3,396,381,96.2,3,Matches
Mattia Bani,it ITA,DF,Parma,27-065,1993,0.5,36,2,13,21,4,2,33,0,0,,0,0,18,87,42,1,0,0,0,0,31,25,80.6,0,Matches
Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26-072,1994,16.2,798,34,146,470,246,42,779,19,30,63.3,21,0,547,3283,1741,72,31,8,16,18,723,556,76.9,49,Matches
Federico Barba,it ITA,DF,Benevento,27-165,1993,15.2,948,109,465,411,120,15,790,2,3,66.7,2,0,491,2844,1439,38,12,3,4,7,528,501,94.9,2,Matches
Nicolò Barella,it ITA,MF,Inter,24-006,1997,18.0,1248,17,184,720,458,37,1227,27,36,75.0,29,0,947,5380,2715,121,59,12,19,18,1029,937,91.1,76,Matches
Antonio Barreca,it ITA,DF,Fiorentina,25-332,1995,0.9,54,1,8,24,25,3,39,0,0,,0,0,25,124,86,8,2,1,0,1,38,29,76.3,1,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,22-091,1998,19.1,991,13,106,463,509,84,904,29,58,50.0,36,2,662,3648,1964,125,42,15,54,45,1051,736,70.0,152,Matches
