player,nationality,position,squad,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,3.2,0,4,0,0.0,1.24,0.00,0.00,,24.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,17.3,0,3,0,0.0,0.17,0.00,0.00,,9.9,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
Andrea Adorante,it ITA,FW,Parma,21-008,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,7.8,0,2,0,0.0,0.26,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Kevin Agudelo,co COL,FW,Spezia,22-091,1998,8.4,1,11,4,36.4,1.31,0.48,0.09,0.25,19.0,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches
Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,7.4,0,6,0,0.0,0.82,0.00,0.00,,16.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
Luis Alberto,es ESP,MF,Lazio,28-138,1992,15.6,6,37,15,40.5,2.38,0.96,0.16,0.40,20.8,3,0,0,3.2,3.0,0.08,+2.8,+3.0,Matches
Bruno Alves,pt POR,DF,Parma,39-078,1981,15.0,0,6,2,33.3,0.40,0.13,0.00,0.00,25.7,3,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,19.6,0,9,3,33.3,0.46,0.15,0.00,0.00,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Djavan Anderson,nl NED,DF,Lazio,25-298,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,6.9,1,5,1,20.0,0.73,0.15,0.00,0.00,26.0,0,1,1,1.0,0.2,0.04,0.0,-0.2,Matches
Tolgay Arslan,de GER,MF,Udinese,30-181,1990,11.6,2,11,4,36.4,0.95,0.35,0.18,0.50,22.1,0,0,0,0.3,0.3,0.03,+1.7,+1.7,Matches
Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tommaso Augello,it ITA,DF,Sampdoria,26-167,1994,19.3,1,4,1,25.0,0.21,0.05,0.25,1.00,21.9,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches
Kaan Ayhan,tr TUR,DF,Sassuolo,26-095,1994,7.7,0,5,0,0.0,0.65,0.00,0.00,,15.1,2,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
Milan Badelj,hr CRO,MF,Genoa,31-354,1989,14.4,0,9,2,22.2,0.62,0.14,0.00,0.00,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Tiemoué Bakayoko,fr FRA,MF,Napoli,26-180,1994,12.9,1,8,3,37.5,0.62,0.23,0.13,0.33,17.1,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
Keita Baldé,sn SEN,FW,Sampdoria,25-342,1995,5.5,4,21,12,57.1,3.81,2.18,0.19,0.33,13.1,0,0,0,2.8,2.8,0.13,+1.2,+1.2,Matches
Botond Balogh,hu HUN,DF,Parma,18-252,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mattia Bani,it ITA,DF,Genoa,27-065,1993,10.2,0,5,1,20.0,0.49,0.10,0.00,0.00,8.9,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
Mattia Bani,it ITA,DF,Parma,27-065,1993,0.5,0,2,1,50.0,4.00,2.00,0.00,0.00,9.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26-072,1994,16.2,4,23,9,39.1,1.42,0.56,0.17,0.44,15.5,1,0,0,3.3,3.3,0.14,+0.7,+0.7,Matches
Federico Barba,it ITA,DF,Benevento,27-165,1993,15.2,0,6,1,16.7,0.39,0.07,0.00,0.00,12.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
Nicolò Barella,it ITA,MF,Inter,24-006,1997,18.0,3,24,9,37.5,1.33,0.50,0.13,0.33,20.4,0,0,0,2.1,2.1,0.09,+0.9,+0.9,Matches
Antonio Barreca,it ITA,DF,Fiorentina,25-332,1995,0.9,0,2,1,50.0,2.12,1.06,0.00,0.00,14.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,22-091,1998,19.1,5,53,25,47.2,2.77,1.31,0.09,0.20,20.5,4,0,1,4.9,4.0,0.08,+0.1,+1.0,Matches
Paolo Bartolomei,it ITA,MF,Spezia,31-176,1989,3.6,0,4,0,0.0,1.13,0.00,0.00,,24.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
