,Unnamed: 0,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,npxg_xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,matches
0,0,Gennaro Acampora,it ITA,"MF,FW",Spezia,26-321,1994,6,2,290,3.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.04,0.03,0.04,Matches
1,1,Francesco Acerbi,it ITA,DF,Lazio,33-003,1988,18,18,1557,17.3,0,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,0.5,0.5,0.4,0.9,0.03,0.03,0.05,0.03,0.05,Matches
2,2,Andrea Adorante,it ITA,FW,Parma,21-008,2000,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
3,3,Lucien Agoume,fr FRA,MF,Spezia,19-004,2002,9,8,699,7.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.01,0.01,0.01,Matches
4,4,Kevin Agudelo,co COL,FW,Spezia,22-091,1998,16,8,757,8.4,1,0,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,1.4,1.4,0.2,1.6,0.17,0.02,0.19,0.17,0.19,Matches
5,5,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,28-125,1992,19,3,662,7.4,0,1,0,0,0,7,0,0.0,0.14,0.14,0.0,0.14,0.5,0.5,0.9,1.4,0.06,0.12,0.18,0.06,0.18,Matches
6,6,Luis Alberto,es ESP,MF,Lazio,28-138,1992,18,18,1402,15.6,6,0,6,0,0,3,0,0.39,0.0,0.39,0.39,0.39,3.2,3.0,4.0,7.0,0.21,0.25,0.46,0.2,0.45,Matches
7,7,Bruno Alves,pt POR,DF,Parma,39-078,1981,15,15,1350,15.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.01,0.0,0.02,0.01,0.02,Matches
8,8,Sofyan Amrabat,ma MAR,MF,Fiorentina,24-176,1996,20,20,1761,19.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches
9,9,Djavan Anderson,nl NED,DF,Lazio,25-298,1995,3,1,72,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
10,10,Nícolas Andrade,br BRA,GK,Udinese,32-307,1988,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
11,11,Philip Ankhrah,gh GHA,MF,Hellas Verona,18-139,2002,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
12,12,Cristian Ansaldi,ar ARG,DF,Torino,34-146,1986,14,6,620,6.9,1,0,0,1,1,0,0,0.15,0.0,0.15,0.0,0.0,1.0,0.2,1.1,1.3,0.14,0.16,0.3,0.03,0.19,Matches
13,13,Tolgay Arslan,de GER,MF,Udinese,30-181,1990,17,15,1040,11.6,2,0,2,0,0,8,0,0.17,0.0,0.17,0.17,0.17,0.3,0.3,0.2,0.5,0.03,0.01,0.04,0.03,0.04,Matches
14,14,Kristoffer Askildsen,no NOR,MF,Sampdoria,20-035,2001,3,0,44,0.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
15,15,Emil Audero,it ITA,GK,Sampdoria,24-026,1997,21,21,1890,21.0,0,1,0,0,0,0,0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.4,0.4,0.0,0.02,0.02,0.0,0.02,Matches
